..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Network\
Cummulative Reward: 14569.770000
Trial#	Reward	Avg_Reward
0	0.73	0.37
1	0.78	0.57
2	0.89	0.73
3	0.64	0.69
4	0.79	0.74
5	0.71	0.73
6	0.73	0.73
7	0.77	0.75
8	0.84	0.8
9	0.72	0.76
10	0.87	0.81
11	0.8	0.81
12	0.82	0.82
13	0.78	0.8
14	0.75	0.77
15	0.68	0.73
16	0.71	0.72
17	0.9	0.81
18	0.72	0.76
19	0.65	0.7
20	0.79	0.75
21	0.76	0.75
22	0.85	0.8
23	0.8	0.8
24	0.71	0.76
25	0.69	0.72
26	0.67	0.7
27	0.88	0.79
28	0.84	0.81
29	0.58	0.7
30	0.83	0.77
31	0.85	0.81
32	0.79	0.8
33	0.84	0.82
34	0.88	0.85
35	0.81	0.83
36	0.79	0.81
37	0.81	0.81
38	0.74	0.78
39	0.74	0.76
40	0.75	0.75
41	0.87	0.81
42	0.87	0.84
43	0.9	0.87
44	0.92	0.89
45	0.76	0.82
46	0.7	0.76
47	0.88	0.82
48	0.86	0.84
49	0.85	0.84
50	0.88	0.86
51	0.8	0.83
52	0.87	0.85
53	0.94	0.9
54	0.74	0.82
55	0.72	0.77
56	0.76	0.76
57	0.92	0.84
58	0.88	0.86
59	0.61	0.73
60	0.92	0.83
61	0.89	0.86
62	0.92	0.89
63	0.83	0.86
64	0.95	0.91
65	0.89	0.9
66	0.89	0.89
67	0.87	0.88
68	0.73	0.8
69	0.83	0.82
70	0.78	0.8
71	0.87	0.83
72	0.77	0.8
73	0.87	0.84
74	0.91	0.88
75	0.74	0.81
76	0.87	0.84
77	0.86	0.85
78	0.93	0.89
79	0.74	0.82
80	0.91	0.87
81	0.82	0.84
82	0.84	0.84
83	0.86	0.85
84	0.91	0.88
85	0.83	0.86
86	0.91	0.89
87	0.85	0.87
88	0.9	0.89
89	0.92	0.9
90	0.78	0.84
91	0.89	0.86
92	0.77	0.82
93	0.85	0.83
94	0.81	0.82
95	0.94	0.88
96	0.7	0.79
97	0.92	0.85
98	0.82	0.84
99	0.89	0.86
100	0.88	0.87
101	0.92	0.9
102	0.87	0.88
103	0.88	0.88
104	0.81	0.85
105	0.9	0.87
106	0.8	0.84
107	0.86	0.85
108	0.82	0.84
109	0.86	0.85
110	0.85	0.85
111	0.89	0.87
112	0.84	0.85
113	0.81	0.83
114	0.86	0.84
115	0.79	0.82
116	0.89	0.86
117	0.89	0.88
118	0.86	0.87
119	0.81	0.84
120	0.84	0.84
121	0.89	0.86
122	0.77	0.81
123	0.86	0.84
124	0.95	0.89
125	0.83	0.86
126	0.8	0.83
127	0.9	0.86
128	0.82	0.84
129	0.88	0.86
130	0.88	0.87
131	0.9	0.88
132	0.79	0.84
133	0.82	0.83
134	0.83	0.83
135	0.78	0.8
136	0.88	0.84
137	0.76	0.8
138	0.95	0.87
139	0.8	0.84
140	0.88	0.86
141	0.93	0.89
142	0.95	0.92
143	0.85	0.89
144	0.81	0.85
145	0.86	0.85
146	0.81	0.83
147	0.83	0.83
148	0.8	0.82
149	0.88	0.85
150	0.8	0.83
151	0.81	0.82
152	0.91	0.86
153	0.79	0.83
154	0.9	0.86
155	0.87	0.87
156	0.88	0.87
157	0.87	0.87
158	0.81	0.84
159	0.78	0.81
160	0.84	0.83
161	0.88	0.85
162	0.79	0.82
163	0.93	0.88
164	0.77	0.82
165	0.74	0.78
166	0.88	0.83
167	0.82	0.82
168	0.78	0.8
169	0.82	0.81
170	0.91	0.86
171	0.81	0.83
172	0.86	0.84
173	0.84	0.84
174	0.91	0.88
175	0.88	0.88
176	0.94	0.91
177	0.8	0.85
178	0.94	0.9
179	0.82	0.86
180	0.95	0.9
181	0.91	0.91
182	0.85	0.88
183	0.92	0.9
184	0.89	0.9
185	0.88	0.89
186	0.87	0.88
187	0.91	0.9
188	0.79	0.84
189	0.89	0.87
190	0.78	0.82
191	0.88	0.85
192	0.87	0.86
193	0.81	0.83
194	0.87	0.85
195	0.9	0.87
196	0.88	0.88
197	0.79	0.83
198	0.89	0.86
199	0.88	0.87
200	0.89	0.88
201	0.84	0.86
202	0.88	0.87
203	0.88	0.87
204	0.79	0.83
205	0.83	0.83
206	0.96	0.89
207	0.82	0.86
208	0.87	0.86
209	0.86	0.86
210	0.87	0.86
211	0.86	0.86
212	0.82	0.84
213	0.9	0.87
214	0.82	0.85
215	0.94	0.89
216	0.92	0.9
217	0.81	0.86
218	0.94	0.9
219	0.89	0.9
220	0.93	0.91
221	0.92	0.92
222	0.81	0.86
223	0.91	0.89
224	0.93	0.91
225	0.89	0.9
226	0.81	0.86
227	0.88	0.87
228	0.98	0.92
229	0.92	0.92
230	0.77	0.85
231	0.9	0.87
232	0.81	0.84
233	0.79	0.81
234	0.9	0.86
235	0.81	0.83
236	0.9	0.87
237	0.94	0.9
238	0.93	0.92
239	0.9	0.91
240	0.87	0.89
241	0.94	0.91
242	0.85	0.88
243	0.79	0.84
244	0.82	0.83
245	0.9	0.87
246	0.91	0.89
247	0.96	0.93
248	0.94	0.93
249	0.88	0.91
250	0.82	0.87
251	0.86	0.86
252	0.91	0.89
253	0.91	0.9
254	0.8	0.85
255	0.88	0.87
256	0.92	0.89
257	0.95	0.92
258	0.77	0.85
259	0.84	0.84
260	0.88	0.86
261	0.89	0.87
262	0.9	0.89
263	0.81	0.85
264	0.88	0.86
265	0.96	0.91
266	0.78	0.84
267	0.79	0.82
268	0.86	0.84
269	0.88	0.86
270	0.89	0.88
271	0.9	0.89
272	0.84	0.87
273	0.9	0.89
274	0.92	0.9
275	0.88	0.89
276	0.87	0.88
277	0.87	0.87
278	0.83	0.85
279	0.92	0.89
280	0.83	0.86
281	0.94	0.9
282	0.98	0.94
283	0.87	0.9
284	0.95	0.93
285	0.93	0.93
286	0.94	0.93
287	0.9	0.91
288	0.91	0.91
289	0.88	0.89
290	0.89	0.89
291	0.96	0.93
292	0.83	0.88
293	0.94	0.91
294	0.86	0.89
295	0.9	0.89
296	0.92	0.9
297	0.87	0.89
298	0.93	0.91
299	0.93	0.92
