..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Synapse\
Cummulative Reward: 14120.840000
Trial#	Reward	Avg_Reward
0	0.8	0.4
1	0.81	0.6
2	0.81	0.7
3	0.85	0.78
4	0.8	0.79
5	0.8	0.79
6	0.78	0.79
7	0.86	0.83
8	0.78	0.8
9	0.72	0.76
10	0.82	0.79
11	0.78	0.78
12	0.82	0.8
13	0.87	0.83
14	0.79	0.81
15	0.84	0.83
16	0.81	0.82
17	0.87	0.84
18	0.81	0.83
19	0.77	0.8
20	0.82	0.81
21	0.84	0.83
22	0.87	0.85
23	0.82	0.83
24	0.72	0.78
25	0.78	0.78
26	0.79	0.78
27	0.81	0.8
28	0.77	0.78
29	0.79	0.79
30	0.77	0.78
31	0.91	0.85
32	0.88	0.86
33	0.93	0.89
34	0.9	0.9
35	0.83	0.87
36	0.85	0.86
37	0.85	0.86
38	0.76	0.81
39	0.81	0.81
40	0.89	0.85
41	0.86	0.86
42	0.79	0.82
43	0.81	0.81
44	0.81	0.81
45	0.85	0.83
46	0.8	0.82
47	0.88	0.85
48	0.86	0.85
49	0.86	0.86
50	0.79	0.82
51	0.77	0.79
52	0.85	0.82
53	0.85	0.84
54	0.8	0.82
55	0.79	0.8
56	0.85	0.83
57	0.79	0.81
58	0.87	0.84
59	0.77	0.8
60	0.86	0.83
61	0.88	0.86
62	0.9	0.88
63	0.74	0.81
64	0.94	0.88
65	0.81	0.84
66	0.83	0.83
67	0.88	0.86
68	0.88	0.87
69	0.79	0.83
70	0.87	0.85
71	0.9	0.88
72	0.82	0.85
73	0.84	0.84
74	0.88	0.86
75	0.83	0.84
76	0.75	0.8
77	0.8	0.8
78	0.88	0.84
79	0.7	0.77
80	0.86	0.81
81	0.87	0.84
82	0.86	0.85
83	0.9	0.87
84	0.8	0.84
85	0.83	0.83
86	0.83	0.83
87	0.88	0.86
88	0.89	0.87
89	0.89	0.88
90	0.86	0.87
91	0.79	0.83
92	0.88	0.85
93	0.83	0.84
94	0.83	0.84
95	0.85	0.85
96	0.88	0.86
97	0.82	0.84
98	0.89	0.87
99	0.89	0.88
100	0.83	0.86
101	0.91	0.88
102	0.81	0.85
103	0.88	0.86
104	0.86	0.86
105	0.92	0.89
106	0.9	0.9
107	0.82	0.86
108	0.8	0.83
109	0.77	0.8
110	0.72	0.76
111	0.88	0.82
112	0.8	0.81
113	0.93	0.87
114	0.92	0.89
115	0.85	0.87
116	0.95	0.91
117	0.86	0.88
118	0.85	0.87
119	0.86	0.86
120	0.82	0.84
121	0.86	0.85
122	0.82	0.84
123	0.92	0.88
124	0.83	0.85
125	0.71	0.78
126	0.87	0.83
127	0.83	0.83
128	0.86	0.84
129	0.88	0.86
130	0.77	0.82
131	0.92	0.87
132	0.9	0.88
133	0.86	0.87
134	0.83	0.85
135	0.89	0.87
136	0.91	0.89
137	0.83	0.86
138	0.9	0.88
139	0.83	0.86
140	0.87	0.86
141	0.87	0.87
142	0.81	0.84
143	0.88	0.86
144	0.8	0.83
145	0.87	0.85
146	0.87	0.86
147	0.88	0.87
148	0.82	0.85
149	0.86	0.85
150	0.77	0.81
151	0.84	0.83
152	0.83	0.83
153	0.82	0.82
154	0.88	0.85
155	0.81	0.83
156	0.86	0.84
157	0.8	0.82
158	0.91	0.87
159	0.82	0.84
160	0.85	0.85
161	0.91	0.88
162	0.85	0.86
163	0.89	0.88
164	0.89	0.88
165	0.88	0.88
166	0.86	0.87
167	0.83	0.85
168	0.7	0.77
169	0.9	0.84
170	0.82	0.83
171	0.84	0.84
172	0.83	0.83
173	0.86	0.84
174	0.87	0.86
175	0.89	0.88
176	0.89	0.88
177	0.79	0.84
178	0.85	0.84
179	0.86	0.85
180	0.82	0.83
181	0.92	0.88
182	0.88	0.88
183	0.86	0.87
184	0.88	0.87
185	0.84	0.85
186	0.9	0.88
187	0.78	0.83
188	0.88	0.86
189	0.87	0.86
190	0.87	0.87
191	0.9	0.88
192	0.85	0.86
193	0.86	0.86
194	0.91	0.89
195	0.77	0.83
196	0.87	0.85
197	0.91	0.88
198	0.86	0.87
199	0.92	0.89
200	0.84	0.87
201	0.85	0.86
202	0.77	0.82
203	0.89	0.86
204	0.88	0.87
205	0.85	0.86
206	0.83	0.85
207	0.88	0.86
208	0.87	0.86
209	0.82	0.84
210	0.84	0.84
211	0.88	0.86
212	0.89	0.87
213	0.86	0.87
214	0.85	0.86
215	0.84	0.85
216	0.83	0.84
217	0.92	0.88
218	0.88	0.88
219	0.88	0.88
220	0.84	0.86
221	0.83	0.85
222	0.8	0.82
223	0.9	0.86
224	0.87	0.87
225	0.87	0.87
226	0.88	0.87
227	0.92	0.9
228	0.83	0.86
229	0.88	0.87
230	0.87	0.87
231	0.88	0.88
232	0.88	0.88
233	0.87	0.88
234	0.88	0.88
235	0.83	0.86
236	0.87	0.86
237	0.82	0.84
238	0.88	0.86
239	0.89	0.88
240	0.83	0.85
241	0.81	0.83
242	0.84	0.83
243	0.84	0.84
244	0.92	0.88
245	0.84	0.86
246	0.86	0.86
247	0.89	0.88
248	0.94	0.91
249	0.88	0.89
250	0.81	0.85
251	0.87	0.86
252	0.88	0.87
253	0.84	0.85
254	0.89	0.87
255	0.81	0.84
256	0.89	0.87
