..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Unit\
Cummulative Reward: 14166.550000
Trial#	Reward	Avg_Reward
0	0.94	0.47
1	0.85	0.66
2	0.84	0.75
3	0.78	0.77
4	0.82	0.79
5	0.87	0.83
6	0.8	0.82
7	0.79	0.8
8	0.77	0.78
9	0.92	0.85
10	0.89	0.87
11	0.88	0.87
12	0.79	0.83
13	0.74	0.79
14	0.73	0.76
15	0.83	0.8
16	0.69	0.74
17	0.88	0.81
18	0.76	0.79
19	0.76	0.77
20	0.87	0.82
21	0.81	0.82
22	0.82	0.82
23	0.85	0.84
24	0.88	0.86
25	0.87	0.86
26	0.9	0.88
27	0.82	0.85
28	0.78	0.82
29	0.9	0.86
30	0.82	0.84
31	0.91	0.87
32	0.83	0.85
33	0.88	0.87
34	0.88	0.87
35	0.85	0.86
36	0.93	0.9
37	0.91	0.9
38	0.85	0.88
39	0.88	0.88
40	0.82	0.85
41	0.81	0.83
42	0.94	0.88
43	0.73	0.81
44	0.81	0.81
45	0.85	0.83
46	0.89	0.86
47	0.85	0.86
48	0.9	0.88
49	0.81	0.84
50	0.81	0.82
51	0.81	0.82
52	0.81	0.81
53	0.92	0.86
54	0.8	0.83
55	0.93	0.88
56	0.77	0.83
57	0.83	0.83
58	0.79	0.81
59	0.82	0.82
60	0.83	0.82
61	0.89	0.86
62	0.86	0.86
63	0.87	0.86
64	0.8	0.83
65	0.82	0.83
66	0.78	0.8
67	0.86	0.83
68	0.84	0.83
69	0.89	0.86
70	0.79	0.82
71	0.92	0.87
72	0.92	0.9
73	0.8	0.85
74	0.78	0.82
75	0.65	0.73
76	0.77	0.75
77	0.94	0.85
78	0.88	0.86
79	0.85	0.86
80	0.86	0.86
81	0.95	0.91
82	0.89	0.9
83	0.85	0.88
84	0.79	0.83
85	0.87	0.85
86	0.86	0.86
87	0.77	0.81
88	0.89	0.85
89	0.88	0.87
90	0.87	0.87
91	0.87	0.87
92	0.77	0.82
93	0.83	0.82
94	0.81	0.82
95	0.9	0.86
96	0.82	0.84
97	0.82	0.83
98	0.84	0.84
99	0.81	0.82
100	0.73	0.78
101	0.88	0.83
102	0.85	0.84
103	0.81	0.83
104	0.85	0.84
105	0.93	0.88
106	0.74	0.81
107	0.84	0.83
108	0.79	0.81
109	0.87	0.84
110	0.85	0.84
111	0.88	0.86
112	0.84	0.85
113	0.8	0.82
114	0.93	0.88
115	0.82	0.85
116	0.86	0.86
117	0.9	0.88
118	0.82	0.85
119	0.86	0.85
120	0.93	0.89
121	0.85	0.87
122	0.83	0.85
123	0.85	0.85
124	0.88	0.86
125	0.8	0.83
126	0.88	0.86
127	0.77	0.81
128	0.81	0.81
129	0.86	0.84
130	0.8	0.82
131	0.87	0.84
132	0.84	0.84
133	0.76	0.8
134	0.79	0.8
135	0.75	0.77
136	0.89	0.83
137	0.9	0.87
138	0.93	0.9
139	0.91	0.9
140	0.91	0.91
141	0.84	0.87
142	0.92	0.89
143	0.89	0.89
144	0.9	0.9
145	0.86	0.88
146	0.9	0.89
147	0.92	0.9
148	0.83	0.86
149	0.87	0.87
150	0.84	0.85
151	0.87	0.86
152	0.9	0.88
153	0.82	0.85
154	0.92	0.89
155	0.93	0.91
156	0.91	0.91
157	0.83	0.87
158	0.9	0.88
159	0.79	0.84
160	0.83	0.84
161	0.86	0.85
162	0.73	0.79
163	0.77	0.78
164	0.93	0.85
165	0.87	0.86
166	0.92	0.89
167	0.9	0.9
168	0.83	0.86
169	0.88	0.87
170	0.88	0.87
171	0.87	0.87
172	0.9	0.88
173	0.82	0.85
174	0.91	0.88
175	0.91	0.9
176	0.88	0.89
177	0.88	0.89
178	0.87	0.88
179	0.85	0.87
180	0.93	0.9
181	0.9	0.9
182	0.89	0.9
183	0.84	0.87
184	0.85	0.86
185	0.91	0.88
186	0.84	0.86
187	0.89	0.88
188	0.93	0.9
189	0.93	0.92
190	0.83	0.87
191	0.77	0.82
192	0.83	0.83
193	0.8	0.81
194	0.8	0.81
195	0.9	0.85
196	0.77	0.81
197	0.84	0.82
198	0.94	0.88
199	0.89	0.89
200	0.89	0.89
201	0.84	0.87
202	0.82	0.84
203	0.97	0.9
204	0.86	0.88
205	0.85	0.87
206	0.87	0.87
207	0.84	0.85
208	0.9	0.88
209	0.84	0.86
210	0.83	0.84
211	0.93	0.89
212	0.78	0.83
213	0.89	0.86
214	0.87	0.86
215	0.82	0.84
216	0.81	0.82
217	0.85	0.84
218	0.82	0.83
219	0.82	0.83
220	0.88	0.85
221	0.77	0.81
222	0.76	0.79
223	0.94	0.86
224	0.87	0.87
225	0.85	0.86
226	0.92	0.89
227	0.84	0.87
228	0.81	0.84
229	0.84	0.84
230	0.82	0.83
231	0.84	0.83
232	0.84	0.84
233	0.88	0.86
234	0.87	0.86
235	0.83	0.85
236	0.93	0.89
237	0.8	0.85
238	0.89	0.87
239	0.88	0.87
240	0.89	0.88
241	0.79	0.84
242	0.88	0.86
243	0.85	0.86
244	0.9	0.88
245	0.82	0.85
246	0.82	0.83
247	0.84	0.84
248	0.85	0.84
249	0.89	0.87
250	0.87	0.87
251	0.77	0.82
252	0.89	0.86
253	0.93	0.9
254	0.89	0.89
255	0.8	0.84
256	0.83	0.84
257	0.85	0.84
258	0.89	0.86
259	0.8	0.83
260	0.8	0.82
261	0.84	0.83
262	0.82	0.83
263	0.83	0.83
264	0.88	0.86
265	0.93	0.89
266	0.91	0.9
267	0.88	0.89
268	0.86	0.87
269	0.85	0.86
270	0.81	0.83
271	0.85	0.84
272	0.83	0.84
273	0.86	0.85
274	0.84	0.85
275	0.85	0.85
276	0.76	0.81
277	0.92	0.86
278	0.85	0.85
279	0.93	0.89
280	0.89	0.89
281	0.81	0.85
282	0.94	0.9
283	0.8	0.85
284	0.78	0.82
285	0.84	0.83
286	0.82	0.82
287	0.85	0.84
288	0.84	0.84
289	0.82	0.83
290	0.88	0.86
291	0.91	0.88
292	0.77	0.83
293	0.91	0.87
294	0.86	0.87
295	0.87	0.87
296	0.83	0.85
297	0.93	0.89
298	0.92	0.9
299	0.81	0.86
300	0.79	0.82
301	0.89	0.86
302	0.87	0.86
303	0.91	0.89
304	0.92	0.9
305	0.9	0.9
306	0.8	0.85
307	0.8	0.82
308	0.88	0.85
309	0.84	0.84
310	0.86	0.85
311	0.86	0.86
312	0.81	0.84
313	0.84	0.84
314	0.83	0.83
315	0.84	0.84
316	0.87	0.85
317	0.91	0.88
318	0.79	0.84
319	0.79	0.82
320	0.85	0.83
321	0.85	0.84
322	0.88	0.86
323	0.84	0.85
324	0.78	0.82
325	0.91	0.86
326	0.86	0.86
327	0.87	0.87
328	0.92	0.9
329	0.79	0.84
330	0.9	0.87
331	0.88	0.87
332	0.84	0.86
333	0.79	0.82
334	0.85	0.84
335	0.8	0.82
336	0.91	0.86
337	0.94	0.9
338	0.86	0.88
339	0.81	0.85
340	0.89	0.87
341	0.86	0.87
342	0.85	0.86
343	0.8	0.83
344	0.85	0.84
345	0.79	0.81
346	0.92	0.87
347	0.88	0.87
348	0.85	0.86
349	0.86	0.86
350	0.82	0.84
351	0.77	0.8
352	0.89	0.85
353	0.91	0.88
354	0.95	0.91
355	0.86	0.89
356	0.87	0.88
357	0.87	0.87
358	0.76	0.82
359	0.96	0.89
360	0.83	0.86
361	0.86	0.86
362	0.84	0.85
363	0.79	0.82
364	0.86	0.84
365	0.85	0.84
366	0.89	0.87
367	0.81	0.84
368	0.8	0.82
369	0.88	0.85
370	0.83	0.84
371	0.82	0.83
372	0.9	0.86
373	0.91	0.89
374	0.83	0.86
375	0.82	0.84
376	0.89	0.87
