..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Network\
Cummulative Reward: 16683.520000
Trial#	Reward	Avg_Reward
0	0.82	0.41
1	0.93	0.67
2	0.85	0.76
3	0.84	0.8
4	0.85	0.83
5	0.81	0.82
6	0.81	0.81
7	0.8	0.81
8	0.9	0.86
9	0.85	0.85
10	0.85	0.85
11	0.83	0.84
12	0.84	0.84
13	0.77	0.8
14	0.8	0.8
15	0.84	0.82
16	0.85	0.84
17	0.84	0.84
18	0.79	0.81
19	0.87	0.84
20	0.87	0.85
21	0.74	0.8
22	0.84	0.82
23	0.82	0.82
24	0.83	0.82
25	0.76	0.79
26	0.88	0.84
27	0.81	0.82
28	0.92	0.87
29	0.82	0.85
30	0.88	0.86
31	0.87	0.87
32	0.88	0.87
33	0.82	0.85
34	0.84	0.85
35	0.85	0.85
36	0.88	0.87
37	0.85	0.86
38	0.8	0.83
39	0.79	0.81
40	0.86	0.83
41	0.83	0.83
42	0.78	0.81
43	0.85	0.83
44	0.84	0.83
45	0.83	0.83
46	0.83	0.83
47	0.82	0.83
48	0.77	0.8
49	0.82	0.81
50	0.85	0.83
51	0.84	0.84
52	0.73	0.78
53	0.83	0.81
54	0.86	0.83
55	0.84	0.84
56	0.89	0.86
57	0.89	0.88
58	0.91	0.89
59	0.77	0.83
60	0.78	0.8
61	0.86	0.83
62	0.86	0.85
63	0.8	0.83
64	0.77	0.8
65	0.85	0.82
66	0.82	0.82
67	0.83	0.82
68	0.81	0.82
69	0.79	0.8
70	0.91	0.86
71	0.8	0.83
72	0.79	0.81
73	0.82	0.82
74	0.85	0.83
75	0.78	0.81
76	0.85	0.83
77	0.8	0.81
78	0.8	0.81
79	0.78	0.79
80	0.83	0.81
81	0.86	0.84
82	0.81	0.82
83	0.85	0.84
84	0.77	0.81
85	0.88	0.84
86	0.78	0.81
87	0.85	0.83
88	0.78	0.81
89	0.78	0.79
90	0.74	0.77
91	0.77	0.77
92	0.85	0.81
93	0.75	0.78
94	0.85	0.82
95	0.8	0.81
96	0.86	0.83
97	0.85	0.84
98	0.83	0.84
99	0.83	0.83
100	0.81	0.82
101	0.83	0.83
102	0.87	0.85
103	0.79	0.82
104	0.86	0.84
105	0.85	0.85
106	0.89	0.87
107	0.86	0.86
108	0.86	0.86
109	0.7	0.78
110	0.85	0.82
111	0.82	0.82
112	0.84	0.83
113	0.89	0.86
114	0.9	0.88
115	0.81	0.85
116	0.82	0.83
117	0.85	0.84
118	0.78	0.81
119	0.77	0.79
120	0.78	0.78
121	0.8	0.79
122	0.86	0.82
123	0.75	0.79
124	0.89	0.84
125	0.85	0.85
126	0.81	0.83
127	0.78	0.81
128	0.79	0.8
129	0.73	0.76
130	0.77	0.77
131	0.83	0.8
132	0.78	0.79
133	0.88	0.84
134	0.84	0.84
135	0.82	0.83
136	0.79	0.81
137	0.82	0.82
138	0.88	0.85
139	0.77	0.81
140	0.87	0.84
141	0.82	0.83
142	0.91	0.87
143	0.78	0.82
144	0.9	0.86
145	0.88	0.87
146	0.85	0.86
147	0.8	0.83
148	0.89	0.86
149	0.86	0.86
150	0.9	0.88
151	0.81	0.84
152	0.85	0.84
153	0.77	0.81
154	0.82	0.82
155	0.8	0.81
156	0.82	0.81
157	0.76	0.79
158	0.8	0.79
159	0.88	0.84
160	0.77	0.81
161	0.85	0.83
162	0.79	0.81
163	0.85	0.83
164	0.8	0.82
165	0.79	0.8
166	0.86	0.83
167	0.8	0.82
168	0.85	0.83
169	0.85	0.84
170	0.76	0.8
171	0.82	0.81
172	0.81	0.81
173	0.78	0.8
174	0.78	0.79
175	0.72	0.75
176	0.83	0.79
177	0.82	0.81
178	0.85	0.83
179	0.87	0.85
180	0.79	0.82
181	0.83	0.82
182	0.85	0.84
183	0.83	0.83
184	0.9	0.87
185	0.8	0.83
186	0.88	0.86
187	0.77	0.82
188	0.84	0.83
189	0.79	0.81
190	0.88	0.85
191	0.85	0.85
192	0.82	0.84
193	0.8	0.82
194	0.79	0.81
195	0.88	0.84
196	0.82	0.83
197	0.83	0.83
198	0.79	0.81
199	0.84	0.82
200	0.88	0.85
201	0.85	0.85
202	0.86	0.85
203	0.86	0.86
204	0.8	0.83
205	0.83	0.83
206	0.86	0.84
207	0.84	0.84
208	0.85	0.85
209	0.87	0.86
210	0.79	0.82
211	0.79	0.81
212	0.8	0.8
213	0.8	0.8
214	0.78	0.79
215	0.89	0.84
216	0.86	0.85
217	0.83	0.84
218	0.83	0.83
219	0.79	0.81
220	0.83	0.82
221	0.83	0.83
222	0.82	0.82
223	0.88	0.85
224	0.82	0.83
225	0.76	0.8
226	0.89	0.84
227	0.79	0.82
228	0.8	0.81
229	0.86	0.84
230	0.82	0.83
231	0.85	0.84
232	0.78	0.81
233	0.82	0.81
234	0.85	0.83
235	0.81	0.82
236	0.89	0.85
237	0.81	0.83
238	0.84	0.84
239	0.79	0.82
240	0.83	0.82
241	0.82	0.82
242	0.79	0.8
243	0.82	0.81
244	0.77	0.79
245	0.86	0.83
246	0.84	0.83
247	0.84	0.84
248	0.79	0.81
249	0.83	0.82
250	0.83	0.83
251	0.81	0.82
252	0.86	0.84
253	0.77	0.81
254	0.77	0.79
255	0.75	0.77
256	0.88	0.83
257	0.86	0.84
258	0.84	0.84
259	0.81	0.83
260	0.84	0.83
