..\Logs\6x6_INV_KNM\Dynamic\Continuous_Continuous\Synapse\
Cummulative Reward: 17300.900000
Trial#	Reward	Avg_Reward
0	0.77	0.38
1	0.77	0.58
2	0.8	0.69
3	0.73	0.71
4	0.82	0.76
5	0.67	0.71
6	0.83	0.77
7	0.75	0.76
8	0.71	0.73
9	0.8	0.77
10	0.7	0.74
11	0.82	0.78
12	0.8	0.79
13	0.8	0.8
14	0.77	0.78
15	0.72	0.75
16	0.84	0.8
17	0.79	0.79
18	0.78	0.78
19	0.76	0.77
20	0.84	0.81
21	0.88	0.85
22	0.89	0.87
23	0.85	0.86
24	0.83	0.84
25	0.81	0.83
26	0.85	0.84
27	0.82	0.83
28	0.82	0.82
29	0.8	0.81
30	0.78	0.8
31	0.8	0.8
32	0.82	0.81
33	0.81	0.81
34	0.8	0.8
35	0.83	0.82
36	0.84	0.83
37	0.73	0.78
38	0.79	0.78
39	0.77	0.78
40	0.78	0.78
41	0.8	0.79
42	0.79	0.79
43	0.85	0.82
44	0.81	0.81
45	0.8	0.8
46	0.77	0.79
47	0.75	0.77
48	0.76	0.77
49	0.82	0.79
50	0.79	0.79
51	0.78	0.78
52	0.84	0.81
53	0.8	0.8
54	0.83	0.82
55	0.82	0.82
56	0.78	0.8
57	0.81	0.81
58	0.83	0.82
59	0.81	0.81
60	0.82	0.81
61	0.83	0.82
62	0.8	0.81
63	0.83	0.82
64	0.75	0.79
65	0.85	0.82
66	0.8	0.81
67	0.74	0.78
68	0.75	0.76
69	0.84	0.8
70	0.79	0.8
71	0.79	0.79
72	0.87	0.83
73	0.73	0.78
74	0.76	0.77
75	0.82	0.8
76	0.79	0.8
77	0.83	0.81
78	0.74	0.78
79	0.78	0.78
80	0.85	0.81
81	0.79	0.8
82	0.75	0.77
83	0.81	0.79
84	0.83	0.81
85	0.79	0.8
86	0.82	0.81
87	0.88	0.84
88	0.88	0.86
89	0.87	0.87
90	0.78	0.82
91	0.87	0.85
92	0.79	0.82
93	0.82	0.82
94	0.86	0.84
95	0.82	0.83
96	0.83	0.83
97	0.8	0.82
98	0.76	0.79
99	0.81	0.8
100	0.85	0.82
101	0.81	0.82
102	0.86	0.84
103	0.83	0.83
104	0.83	0.83
105	0.84	0.84
106	0.76	0.8
107	0.87	0.83
108	0.8	0.82
109	0.79	0.8
110	0.78	0.79
111	0.8	0.79
112	0.8	0.8
113	0.84	0.82
114	0.86	0.84
115	0.79	0.81
116	0.74	0.77
117	0.82	0.8
118	0.84	0.82
119	0.86	0.84
120	0.87	0.86
121	0.84	0.85
122	0.83	0.84
123	0.83	0.84
124	0.87	0.85
125	0.83	0.84
126	0.85	0.84
127	0.83	0.84
128	0.82	0.83
129	0.83	0.83
130	0.83	0.83
131	0.8	0.81
132	0.82	0.82
133	0.8	0.81
134	0.88	0.84
135	0.79	0.82
136	0.88	0.85
137	0.84	0.85
138	0.85	0.85
139	0.85	0.85
140	0.79	0.82
141	0.81	0.81
142	0.79	0.8
143	0.85	0.82
144	0.8	0.81
145	0.85	0.83
146	0.78	0.8
147	0.83	0.82
148	0.83	0.82
149	0.83	0.83
150	0.86	0.84
151	0.85	0.85
152	0.82	0.84
153	0.79	0.81
154	0.88	0.85
155	0.83	0.84
156	0.81	0.82
157	0.84	0.83
158	0.83	0.83
159	0.83	0.83
160	0.88	0.85
161	0.82	0.84
162	0.78	0.81
163	0.85	0.83
164	0.85	0.84
165	0.88	0.86
166	0.82	0.84
167	0.85	0.84
168	0.86	0.85
169	0.83	0.84
170	0.89	0.87
171	0.83	0.85
172	0.82	0.84
