..\Logs\6x6_INV_KNM\Dynamic\Continuous_Continuous\Unit\
Cummulative Reward: 16812.820000
Trial#	Reward	Avg_Reward
0	0.85	0.42
1	0.84	0.63
2	0.82	0.72
3	0.83	0.78
4	0.81	0.79
5	0.82	0.81
6	0.83	0.82
7	0.81	0.82
8	0.82	0.82
9	0.77	0.79
10	0.73	0.76
11	0.83	0.79
12	0.78	0.79
13	0.84	0.82
14	0.79	0.8
15	0.85	0.82
16	0.85	0.84
17	0.81	0.82
18	0.84	0.83
19	0.85	0.84
20	0.82	0.83
21	0.75	0.79
22	0.87	0.83
23	0.85	0.84
24	0.84	0.84
25	0.83	0.83
26	0.83	0.83
27	0.79	0.81
28	0.82	0.82
29	0.9	0.86
30	0.83	0.84
31	0.76	0.8
32	0.89	0.85
33	0.85	0.85
34	0.88	0.87
35	0.84	0.85
36	0.89	0.87
37	0.84	0.85
38	0.83	0.84
39	0.81	0.83
40	0.86	0.84
41	0.83	0.84
42	0.82	0.83
43	0.88	0.85
44	0.77	0.81
45	0.84	0.83
46	0.85	0.84
47	0.9	0.87
48	0.9	0.88
49	0.78	0.83
50	0.83	0.83
51	0.83	0.83
52	0.8	0.82
53	0.83	0.83
54	0.9	0.86
55	0.8	0.83
56	0.84	0.84
57	0.88	0.86
58	0.85	0.86
59	0.8	0.83
60	0.86	0.84
61	0.88	0.86
62	0.84	0.85
63	0.94	0.9
64	0.94	0.92
65	0.92	0.92
66	0.86	0.89
67	0.87	0.88
68	0.89	0.88
69	0.86	0.87
70	0.87	0.87
71	0.84	0.86
72	0.88	0.87
73	0.87	0.87
74	0.88	0.87
75	0.86	0.87
76	0.85	0.86
77	0.82	0.84
78	0.87	0.86
79	0.81	0.83
80	0.9	0.87
81	0.87	0.87
82	0.82	0.84
83	0.89	0.87
84	0.83	0.85
85	0.9	0.88
86	0.83	0.85
87	0.86	0.86
88	0.91	0.89
89	0.92	0.9
90	0.86	0.88
91	0.83	0.86
92	0.91	0.88
93	0.83	0.86
94	0.83	0.85
95	0.9	0.87
96	0.89	0.88
97	0.84	0.86
98	0.84	0.85
99	0.86	0.85
100	0.91	0.88
101	0.87	0.88
102	0.84	0.86
103	0.84	0.85
104	0.83	0.84
105	0.86	0.85
106	0.92	0.89
107	0.95	0.92
108	0.81	0.86
109	0.88	0.87
110	0.87	0.87
111	0.92	0.89
112	0.83	0.86
113	0.89	0.88
114	0.88	0.88
115	0.88	0.88
116	0.88	0.88
117	0.9	0.89
118	0.85	0.87
119	0.85	0.86
120	0.8	0.83
121	0.88	0.86
122	0.87	0.86
123	0.89	0.87
124	0.9	0.89
125	0.87	0.88
126	0.87	0.88
127	0.92	0.9
128	0.91	0.9
129	0.79	0.84
130	0.94	0.89
131	0.84	0.87
132	0.85	0.86
133	0.95	0.91
134	0.83	0.87
135	0.91	0.89
136	0.93	0.91
137	0.87	0.89
138	0.87	0.88
139	0.84	0.86
140	0.9	0.88
141	0.92	0.9
142	0.88	0.89
143	0.86	0.87
144	0.87	0.87
145	0.9	0.89
146	0.8	0.84
147	0.87	0.85
148	0.88	0.87
149	0.87	0.87
150	0.87	0.87
151	0.9	0.89
152	0.95	0.92
153	0.9	0.91
154	0.91	0.91
155	0.88	0.89
156	0.9	0.9
157	0.93	0.91
158	0.95	0.93
159	0.9	0.92
160	0.91	0.91
161	0.88	0.9
162	0.9	0.9
163	0.9	0.9
164	0.89	0.89
165	0.94	0.92
166	0.88	0.9
167	0.89	0.89
168	0.89	0.89
169	0.87	0.88
170	0.91	0.9
171	0.92	0.91
172	0.94	0.92
173	0.92	0.92
174	0.93	0.92
175	0.82	0.87
176	0.91	0.89
177	0.94	0.91
178	0.89	0.9
179	0.88	0.89
180	0.87	0.88
181	0.93	0.91
182	0.9	0.9
183	0.88	0.89
184	0.93	0.91
185	0.92	0.92
186	0.92	0.92
187	0.89	0.9
188	0.86	0.88
189	0.86	0.87
190	0.87	0.87
191	0.89	0.88
192	0.93	0.9
193	0.86	0.88
194	0.93	0.9
195	0.87	0.89
196	0.92	0.91
197	0.91	0.91
198	0.87	0.89
199	0.89	0.89
200	0.84	0.86
201	0.9	0.88
202	0.87	0.88
203	0.88	0.88
204	0.9	0.89
205	0.96	0.93
206	0.92	0.92
207	0.92	0.92
208	0.96	0.94
209	0.87	0.9
210	0.88	0.89
211	0.92	0.9
212	0.96	0.93
213	0.95	0.94
214	0.93	0.94
215	0.91	0.92
216	0.93	0.93
217	0.89	0.91
218	0.89	0.9
219	0.89	0.9
220	0.91	0.9
221	0.88	0.89
222	0.94	0.92
223	0.96	0.94
224	0.91	0.92
225	0.91	0.92
226	0.88	0.9
227	0.9	0.9
228	0.92	0.91
229	0.94	0.93
230	0.92	0.92
231	0.95	0.94
232	0.9	0.92
233	0.9	0.91
234	0.91	0.91
235	0.93	0.92
236	0.91	0.92
237	0.93	0.92
238	0.85	0.89
239	0.91	0.9
240	0.93	0.91
241	0.88	0.9
242	0.91	0.91
243	0.85	0.88
244	0.93	0.9
245	0.89	0.89
246	0.92	0.91
247	0.86	0.88
248	0.88	0.88
249	0.89	0.88
250	0.9	0.89
251	0.93	0.91
252	0.89	0.9
253	0.92	0.91
254	0.9	0.9
255	0.88	0.89
256	0.87	0.88
257	0.91	0.9
258	0.88	0.89
259	0.96	0.92
260	0.86	0.89
261	0.91	0.9
262	0.89	0.9
263	0.92	0.91
264	0.89	0.9
265	0.92	0.91
266	0.95	0.93
267	0.89	0.91
268	0.91	0.91
269	0.89	0.9
270	0.89	0.89
271	0.87	0.88
272	0.91	0.9
273	0.9	0.9
274	0.94	0.92
275	0.95	0.94
276	0.89	0.91
277	0.96	0.94
278	0.9	0.92
279	0.93	0.92
280	0.86	0.89
281	0.92	0.91
282	0.93	0.92
283	0.95	0.93
284	0.87	0.9
285	0.95	0.93
286	0.92	0.92
287	0.92	0.92
288	0.93	0.93
289	0.92	0.92
290	0.92	0.92
291	0.93	0.93
292	0.92	0.93
293	0.86	0.89
294	0.94	0.92
295	0.93	0.92
296	0.91	0.91
297	0.88	0.9
298	0.89	0.89
299	0.89	0.89
300	0.88	0.88
301	0.94	0.91
302	0.94	0.93
303	0.9	0.91
304	0.9	0.91
305	0.94	0.93
306	0.91	0.92
307	0.89	0.9
308	0.95	0.93
309	0.87	0.9
310	0.92	0.91
311	0.92	0.92
312	0.93	0.92
313	0.93	0.93
314	0.9	0.91
315	0.89	0.9
316	0.91	0.91
317	0.88	0.89
318	0.96	0.92
319	0.93	0.93
320	0.94	0.93
321	0.94	0.94
322	0.95	0.94
323	0.91	0.93
324	0.9	0.91
325	0.93	0.92
326	0.92	0.92
327	0.89	0.91
328	0.94	0.92
329	0.96	0.94
330	0.95	0.94
331	0.88	0.91
332	0.91	0.91
333	0.89	0.9
334	0.95	0.92
335	0.9	0.91
336	0.93	0.92
337	0.93	0.92
338	0.91	0.92
339	0.91	0.92
340	0.92	0.92
341	0.97	0.94
342	0.92	0.93
343	0.9	0.91
344	0.94	0.93
345	0.93	0.93
346	0.86	0.9
347	0.93	0.91
348	0.93	0.92
349	0.91	0.91
350	0.92	0.92
351	0.93	0.92
352	0.86	0.89
353	0.95	0.92
354	0.91	0.92
355	0.91	0.91
356	0.94	0.93
357	0.91	0.92
358	0.93	0.92
359	0.88	0.9
360	0.92	0.91
361	0.89	0.9
362	0.91	0.91
363	0.94	0.92
364	0.87	0.9
365	0.93	0.91
366	0.92	0.91
367	0.9	0.91
368	0.93	0.92
369	0.92	0.92
370	0.94	0.93
371	0.91	0.92
