..\Logs\12x3_INV_KNM\Dynamic\Discrete_Continuous\Network\
Cummulative Reward: 15059.990000
Trial#	Reward	Avg_Reward
0	0.67	0.34
1	0.73	0.53
2	0.62	0.57
3	0.81	0.69
4	0.58	0.64
5	0.74	0.69
6	0.69	0.69
7	0.68	0.68
8	0.78	0.73
9	0.65	0.69
10	0.64	0.66
11	0.6	0.63
12	0.62	0.63
13	0.7	0.66
14	0.69	0.68
15	0.69	0.68
16	0.77	0.72
17	0.76	0.74
18	0.63	0.68
19	0.76	0.72
20	0.8	0.76
21	0.71	0.74
22	0.69	0.72
23	0.65	0.68
24	0.56	0.62
25	0.76	0.69
26	0.62	0.65
27	0.75	0.7
28	0.78	0.74
29	0.65	0.7
30	0.74	0.72
31	0.76	0.74
32	0.69	0.71
33	0.67	0.69
34	0.74	0.72
35	0.76	0.74
36	0.72	0.73
37	0.65	0.69
38	0.74	0.71
39	0.69	0.7
40	0.78	0.74
41	0.71	0.73
42	0.77	0.75
43	0.68	0.71
44	0.7	0.71
45	0.75	0.73
46	0.73	0.73
47	0.77	0.75
48	0.77	0.76
49	0.74	0.75
50	0.8	0.78
51	0.77	0.77
52	0.79	0.78
53	0.84	0.81
54	0.72	0.77
55	0.75	0.76
56	0.68	0.72
57	0.77	0.75
58	0.8	0.77
59	0.66	0.72
60	0.75	0.74
61	0.61	0.67
62	0.71	0.69
63	0.67	0.68
64	0.64	0.66
65	0.75	0.7
66	0.7	0.7
67	0.77	0.74
68	0.76	0.75
69	0.82	0.78
70	0.72	0.75
71	0.76	0.76
72	0.66	0.71
73	0.74	0.72
74	0.78	0.75
75	0.78	0.77
76	0.76	0.76
77	0.78	0.77
78	0.75	0.76
79	0.76	0.76
80	0.78	0.77
81	0.77	0.77
82	0.79	0.78
83	0.82	0.8
84	0.78	0.79
85	0.79	0.79
86	0.67	0.73
87	0.8	0.77
88	0.72	0.75
89	0.76	0.75
90	0.72	0.74
91	0.76	0.75
92	0.72	0.73
93	0.62	0.68
94	0.76	0.72
95	0.74	0.73
96	0.8	0.77
97	0.76	0.77
98	0.8	0.78
99	0.74	0.76
100	0.78	0.77
101	0.74	0.76
102	0.78	0.77
103	0.71	0.74
104	0.74	0.74
105	0.78	0.76
106	0.76	0.76
107	0.74	0.75
108	0.8	0.78
109	0.77	0.77
110	0.7	0.74
111	0.68	0.71
112	0.78	0.75
113	0.73	0.74
114	0.74	0.74
115	0.75	0.75
116	0.77	0.76
117	0.75	0.76
118	0.74	0.75
119	0.73	0.74
120	0.73	0.73
121	0.79	0.76
122	0.74	0.75
123	0.7	0.72
124	0.64	0.68
125	0.79	0.74
126	0.74	0.74
127	0.79	0.77
128	0.69	0.73
129	0.7	0.71
130	0.82	0.77
131	0.82	0.79
132	0.78	0.79
133	0.79	0.79
134	0.74	0.76
135	0.8	0.78
136	0.73	0.76
137	0.73	0.74
138	0.75	0.75
139	0.72	0.73
140	0.76	0.75
141	0.76	0.75
142	0.79	0.77
143	0.72	0.75
144	0.74	0.74
145	0.7	0.72
146	0.71	0.71
147	0.72	0.72
148	0.79	0.76
149	0.7	0.73
150	0.75	0.74
151	0.71	0.72
152	0.7	0.71
153	0.75	0.73
154	0.75	0.74
155	0.75	0.75
156	0.74	0.74
157	0.8	0.77
