..\Logs\12x3_INV_KNM\Dynamic\Discrete_Continuous\Unit\
Cummulative Reward: 14436.530000
Trial#	Reward	Avg_Reward
0	0.69	0.34
1	0.7	0.52
2	0.78	0.65
3	0.73	0.69
4	0.61	0.65
5	0.68	0.67
6	0.75	0.71
7	0.7	0.7
8	0.6	0.65
9	0.76	0.71
10	0.75	0.73
11	0.81	0.77
12	0.59	0.68
13	0.69	0.68
14	0.71	0.7
15	0.75	0.72
16	0.77	0.75
17	0.67	0.71
18	0.74	0.72
19	0.69	0.71
20	0.74	0.72
21	0.64	0.68
22	0.72	0.7
23	0.69	0.69
24	0.72	0.7
25	0.67	0.69
26	0.75	0.72
27	0.74	0.73
28	0.62	0.68
29	0.71	0.69
30	0.74	0.72
31	0.68	0.7
32	0.83	0.76
33	0.76	0.76
34	0.66	0.71
35	0.75	0.73
36	0.71	0.72
37	0.7	0.71
38	0.76	0.73
39	0.72	0.73
40	0.81	0.77
41	0.73	0.75
42	0.7	0.73
43	0.74	0.73
44	0.84	0.79
45	0.81	0.8
46	0.71	0.76
47	0.71	0.73
48	0.75	0.74
49	0.83	0.79
50	0.66	0.72
51	0.68	0.7
52	0.74	0.72
53	0.73	0.73
54	0.86	0.79
55	0.81	0.8
56	0.73	0.77
57	0.74	0.75
58	0.67	0.71
59	0.71	0.71
60	0.74	0.73
61	0.8	0.77
62	0.79	0.78
63	0.64	0.71
64	0.76	0.74
65	0.76	0.75
66	0.74	0.74
67	0.78	0.76
68	0.68	0.72
69	0.84	0.78
70	0.82	0.8
71	0.8	0.8
72	0.83	0.81
73	0.73	0.77
74	0.81	0.79
75	0.8	0.79
76	0.78	0.79
77	0.83	0.81
78	0.78	0.79
79	0.77	0.78
80	0.76	0.77
81	0.82	0.79
82	0.73	0.76
83	0.77	0.76
84	0.63	0.7
85	0.75	0.72
86	0.8	0.76
87	0.75	0.75
88	0.8	0.78
89	0.77	0.77
90	0.7	0.74
91	0.78	0.76
92	0.8	0.78
93	0.74	0.76
94	0.8	0.78
95	0.84	0.81
96	0.69	0.75
97	0.84	0.79
98	0.76	0.78
99	0.77	0.77
100	0.78	0.78
101	0.86	0.82
102	0.77	0.8
103	0.85	0.82
104	0.85	0.83
105	0.86	0.85
106	0.83	0.84
107	0.75	0.79
108	0.76	0.78
109	0.77	0.77
110	0.81	0.79
111	0.78	0.79
112	0.8	0.79
113	0.77	0.78
114	0.8	0.79
115	0.79	0.79
116	0.85	0.82
117	0.81	0.82
118	0.79	0.8
119	0.84	0.82
120	0.75	0.78
121	0.75	0.77
122	0.76	0.76
123	0.81	0.79
124	0.79	0.79
