..\Logs\24x6_INV_KNM\Dynamic\Discrete_Continuous\Network\
Cummulative Reward: 15643.040000
Trial#	Reward	Avg_Reward
0	0.74	0.37
1	0.81	0.59
2	0.81	0.7
3	0.83	0.76
4	0.79	0.78
5	0.75	0.76
6	0.74	0.75
7	0.84	0.8
8	0.84	0.82
9	0.79	0.8
10	0.8	0.8
11	0.81	0.81
12	0.86	0.83
13	0.83	0.83
14	0.86	0.84
15	0.79	0.82
16	0.79	0.81
17	0.84	0.82
18	0.72	0.77
19	0.82	0.8
20	0.75	0.78
21	0.78	0.78
22	0.73	0.76
23	0.78	0.77
24	0.85	0.81
25	0.82	0.82
26	0.8	0.81
27	0.8	0.8
28	0.76	0.78
29	0.78	0.78
30	0.78	0.78
31	0.79	0.78
32	0.85	0.82
33	0.82	0.82
34	0.85	0.84
35	0.76	0.8
36	0.8	0.8
37	0.8	0.8
38	0.82	0.81
39	0.79	0.8
40	0.75	0.78
41	0.73	0.75
42	0.85	0.8
43	0.81	0.8
44	0.8	0.8
45	0.86	0.83
46	0.86	0.85
47	0.85	0.85
48	0.75	0.8
49	0.86	0.83
50	0.78	0.81
51	0.82	0.81
52	0.81	0.81
53	0.78	0.79
54	0.81	0.8
55	0.76	0.78
56	0.82	0.8
57	0.8	0.8
58	0.72	0.76
59	0.79	0.78
60	0.83	0.8
61	0.8	0.8
62	0.8	0.8
63	0.77	0.78
64	0.83	0.81
65	0.82	0.81
66	0.8	0.8
67	0.82	0.81
68	0.77	0.79
69	0.84	0.82
70	0.77	0.79
71	0.82	0.81
72	0.86	0.84
73	0.83	0.84
74	0.86	0.85
75	0.85	0.85
76	0.8	0.83
77	0.79	0.81
78	0.8	0.8
79	0.84	0.82
80	0.73	0.78
81	0.83	0.81
82	0.8	0.8
83	0.73	0.77
84	0.81	0.79
85	0.81	0.8
86	0.84	0.82
87	0.78	0.8
88	0.8	0.8
89	0.86	0.83
90	0.77	0.8
91	0.79	0.79
92	0.82	0.81
93	0.87	0.84
94	0.82	0.83
95	0.79	0.81
96	0.84	0.83
97	0.86	0.84
98	0.77	0.81
99	0.85	0.83
100	0.82	0.83
101	0.83	0.83
102	0.79	0.81
103	0.83	0.82
104	0.82	0.82
105	0.92	0.87
106	0.8	0.84
107	0.79	0.81
108	0.82	0.81
109	0.81	0.81
110	0.74	0.78
111	0.85	0.81
112	0.81	0.81
113	0.84	0.83
114	0.88	0.85
115	0.78	0.81
116	0.83	0.82
117	0.85	0.84
118	0.83	0.83
119	0.8	0.82
120	0.8	0.81
121	0.76	0.79
122	0.84	0.81
123	0.77	0.79
124	0.84	0.81
125	0.82	0.82
126	0.79	0.8
127	0.83	0.82
128	0.88	0.85
129	0.82	0.84
130	0.82	0.83
131	0.75	0.79
132	0.87	0.83
133	0.81	0.82
134	0.72	0.77
135	0.74	0.76
136	0.81	0.78
137	0.8	0.79
138	0.84	0.81
139	0.82	0.82
140	0.87	0.84
141	0.82	0.83
142	0.77	0.8
143	0.78	0.79
144	0.78	0.79
145	0.72	0.76
146	0.86	0.81
147	0.79	0.8
148	0.78	0.79
149	0.8	0.8
150	0.77	0.78
151	0.79	0.79
152	0.79	0.79
153	0.86	0.82
154	0.73	0.78
155	0.8	0.79
156	0.74	0.77
157	0.8	0.78
158	0.84	0.81
159	0.8	0.81
160	0.83	0.82
161	0.78	0.8
162	0.79	0.8
163	0.8	0.8
164	0.81	0.81
165	0.79	0.8
166	0.77	0.79
167	0.82	0.8
168	0.8	0.8
169	0.81	0.81
170	0.84	0.82
171	0.81	0.81
172	0.76	0.79
173	0.8	0.8
174	0.8	0.8
175	0.75	0.77
176	0.78	0.78
177	0.8	0.79
178	0.82	0.8
179	0.81	0.81
180	0.81	0.81
181	0.76	0.79
182	0.83	0.81
183	0.79	0.8
184	0.74	0.77
185	0.79	0.78
186	0.85	0.82
187	0.83	0.82
188	0.76	0.79
189	0.77	0.78
190	0.82	0.8
191	0.83	0.82
192	0.78	0.8
193	0.75	0.77
194	0.86	0.82
195	0.77	0.79
196	0.79	0.79
197	0.76	0.77
198	0.82	0.8
199	0.81	0.8
200	0.76	0.78
201	0.8	0.79
202	0.74	0.77
203	0.84	0.8
204	0.81	0.8
205	0.8	0.8
206	0.81	0.8
207	0.8	0.8
208	0.81	0.8
209	0.79	0.8
210	0.79	0.79
211	0.77	0.78
212	0.77	0.78
213	0.73	0.76
214	0.84	0.8
215	0.74	0.77
216	0.82	0.79
217	0.79	0.79
218	0.82	0.8
219	0.8	0.8
220	0.74	0.77
221	0.84	0.81
222	0.85	0.83
223	0.8	0.81
224	0.81	0.81
225	0.8	0.81
226	0.78	0.79
227	0.79	0.79
228	0.79	0.79
229	0.73	0.76
230	0.81	0.78
231	0.8	0.79
232	0.88	0.84
233	0.82	0.83
234	0.84	0.83
235	0.87	0.85
236	0.84	0.84
237	0.85	0.85
238	0.79	0.82
239	0.81	0.82
240	0.83	0.83
241	0.9	0.86
242	0.83	0.85
243	0.81	0.83
244	0.78	0.81
245	0.86	0.83
246	0.77	0.8
247	0.74	0.77
248	0.8	0.79
249	0.76	0.77
250	0.89	0.83
251	0.8	0.82
252	0.79	0.8
253	0.85	0.82
254	0.78	0.8
255	0.74	0.77
256	0.76	0.76
257	0.81	0.79
258	0.83	0.81
259	0.74	0.77
260	0.82	0.79
261	0.72	0.76
262	0.83	0.79
263	0.81	0.8
264	0.81	0.8
265	0.77	0.79
266	0.81	0.8
267	0.77	0.79
268	0.85	0.82
269	0.78	0.8
270	0.85	0.83
271	0.82	0.82
272	0.8	0.81
273	0.83	0.82
274	0.83	0.82
275	0.82	0.82
276	0.78	0.8
277	0.74	0.77
278	0.78	0.77
279	0.76	0.77
280	0.76	0.76
281	0.83	0.79
282	0.81	0.8
283	0.74	0.77
284	0.86	0.82
285	0.82	0.82
286	0.8	0.81
287	0.74	0.78
288	0.8	0.79
289	0.82	0.81
290	0.77	0.79
291	0.83	0.81
292	0.87	0.84
293	0.87	0.85
294	0.81	0.83
295	0.85	0.84
296	0.76	0.8
297	0.83	0.82
298	0.76	0.79
299	0.77	0.78
300	0.8	0.79
301	0.84	0.82
302	0.84	0.83
303	0.8	0.81
304	0.78	0.8
305	0.8	0.8
306	0.8	0.8
307	0.77	0.78
308	0.78	0.78
309	0.82	0.8
310	0.84	0.82
311	0.77	0.8
312	0.81	0.8
313	0.75	0.78
314	0.8	0.79
315	0.76	0.77
316	0.72	0.75
317	0.77	0.76
318	0.83	0.79
319	0.77	0.78
320	0.86	0.82
321	0.81	0.82
322	0.85	0.84
323	0.8	0.82
324	0.79	0.8
325	0.8	0.8
326	0.86	0.83
327	0.81	0.82
328	0.86	0.84
329	0.77	0.8
330	0.84	0.82
331	0.82	0.82
332	0.82	0.82
333	0.77	0.79
334	0.8	0.8
335	0.81	0.8
336	0.81	0.8
337	0.83	0.82
338	0.76	0.79
339	0.8	0.8
340	0.77	0.78
341	0.8	0.79
342	0.78	0.79
343	0.81	0.8
344	0.79	0.8
345	0.89	0.85
346	0.87	0.86
347	0.82	0.84
348	0.84	0.84
349	0.84	0.84
350	0.86	0.85
351	0.79	0.82
352	0.83	0.82
353	0.89	0.85
354	0.82	0.84
355	0.84	0.84
356	0.85	0.84
357	0.87	0.86
358	0.82	0.84
359	0.85	0.84
360	0.74	0.79
361	0.79	0.79
362	0.87	0.83
363	0.84	0.83
364	0.8	0.82
365	0.81	0.81
366	0.76	0.78
367	0.78	0.78
368	0.83	0.81
369	0.82	0.81
370	0.84	0.83
371	0.8	0.81
372	0.85	0.83
373	0.84	0.83
374	0.8	0.82
375	0.84	0.83
376	0.84	0.83
377	0.83	0.83
378	0.82	0.82
379	0.84	0.83
380	0.81	0.82
381	0.78	0.8
382	0.8	0.8
383	0.82	0.81
384	0.8	0.8
385	0.81	0.81
386	0.86	0.83
387	0.77	0.8
388	0.76	0.78
389	0.82	0.8
390	0.73	0.77
391	0.82	0.79
392	0.78	0.79
393	0.76	0.77
394	0.84	0.81
395	0.81	0.81
396	0.78	0.79
397	0.83	0.81
398	0.83	0.82
399	0.81	0.82
400	0.79	0.8
401	0.8	0.8
402	0.78	0.79
403	0.79	0.79
404	0.82	0.8
405	0.8	0.8
406	0.83	0.82
407	0.79	0.81
408	0.8	0.8
409	0.78	0.79
410	0.86	0.83
411	0.83	0.83
412	0.8	0.82
413	0.75	0.78
414	0.76	0.77
415	0.83	0.8
416	0.78	0.79
417	0.87	0.83
418	0.83	0.83
419	0.81	0.82
420	0.77	0.79
421	0.87	0.83
422	0.87	0.85
423	0.83	0.84
424	0.86	0.85
425	0.82	0.84
426	0.84	0.84
427	0.75	0.79
428	0.76	0.78
429	0.83	0.8
430	0.79	0.8
431	0.79	0.8
432	0.8	0.8
433	0.81	0.8
434	0.84	0.82
435	0.86	0.84
436	0.73	0.79
437	0.83	0.81
438	0.84	0.82
439	0.77	0.8
440	0.83	0.82
441	0.81	0.81
442	0.8	0.81
443	0.84	0.82
444	0.83	0.82
445	0.79	0.81
446	0.76	0.79
447	0.76	0.77
448	0.77	0.77
449	0.76	0.77
450	0.81	0.79
451	0.82	0.8
452	0.85	0.82
453	0.8	0.81
454	0.83	0.82
455	0.8	0.81
456	0.84	0.82
457	0.77	0.8
458	0.77	0.78
459	0.83	0.81
460	0.76	0.78
461	0.8	0.79
462	0.81	0.8
463	0.82	0.81
464	0.82	0.82
465	0.79	0.8
466	0.81	0.8
467	0.82	0.81
468	0.78	0.8
469	0.82	0.81
470	0.84	0.83
471	0.8	0.81
472	0.85	0.83
473	0.77	0.8
474	0.79	0.8
475	0.81	0.8
476	0.82	0.81
477	0.81	0.81
478	0.86	0.84
479	0.87	0.85
480	0.87	0.86
481	0.82	0.84
482	0.85	0.84
483	0.87	0.85
484	0.8	0.83
485	0.8	0.81
486	0.79	0.8
487	0.8	0.8
488	0.84	0.82
489	0.79	0.81
490	0.78	0.79
491	0.74	0.76
492	0.83	0.8
493	0.85	0.82
494	0.79	0.81
495	0.73	0.77
496	0.82	0.8
497	0.89	0.84
498	0.79	0.82
499	0.82	0.82
500	0.8	0.81
501	0.82	0.81
502	0.83	0.82
503	0.81	0.82
504	0.87	0.84
505	0.81	0.83
506	0.76	0.79
507	0.78	0.79
508	0.8	0.79
509	0.84	0.81
510	0.75	0.78
511	0.83	0.81
512	0.76	0.79
513	0.75	0.77
514	0.82	0.79
515	0.82	0.81
516	0.76	0.79
517	0.77	0.78
518	0.82	0.8
519	0.84	0.82
520	0.79	0.81
521	0.83	0.82
522	0.79	0.8
523	0.82	0.81
524	0.78	0.8
525	0.81	0.81
526	0.8	0.8
527	0.83	0.82
528	0.83	0.82
529	0.86	0.84
530	0.84	0.84
531	0.8	0.82
532	0.84	0.83
533	0.81	0.82
534	0.83	0.83
535	0.75	0.79
536	0.79	0.79
537	0.83	0.81
538	0.86	0.83
539	0.79	0.81
540	0.81	0.81
541	0.85	0.83
542	0.85	0.84
543	0.88	0.86
544	0.78	0.82
545	0.85	0.83
546	0.82	0.83
547	0.77	0.8
548	0.79	0.79
549	0.83	0.81
550	0.78	0.8
551	0.82	0.81
552	0.86	0.83
553	0.86	0.85
554	0.81	0.83
555	0.78	0.8
556	0.79	0.8
557	0.85	0.83
558	0.81	0.82
559	0.84	0.83
560	0.81	0.82
561	0.84	0.83
562	0.86	0.84
563	0.82	0.83
564	0.85	0.84
565	0.79	0.82
566	0.79	0.81
567	0.73	0.77
568	0.82	0.79
569	0.86	0.83
570	0.84	0.84
571	0.88	0.86
572	0.9	0.88
573	0.86	0.87
574	0.78	0.83
575	0.8	0.81
576	0.86	0.84
577	0.83	0.83
578	0.87	0.85
579	0.83	0.84
580	0.79	0.81
581	0.8	0.81
582	0.76	0.78
583	0.81	0.79
584	0.81	0.8
585	0.86	0.83
586	0.8	0.82
587	0.77	0.79
588	0.75	0.77
589	0.74	0.76
590	0.84	0.8
591	0.84	0.82
592	0.82	0.82
593	0.84	0.83
594	0.85	0.84
595	0.79	0.81
596	0.83	0.82
597	0.78	0.8
598	0.79	0.8
599	0.75	0.78
600	0.75	0.76
601	0.75	0.76
602	0.81	0.78
603	0.75	0.77
604	0.76	0.77
605	0.84	0.8
606	0.77	0.79
607	0.79	0.79
608	0.83	0.81
609	0.8	0.8
610	0.82	0.81
611	0.86	0.83
612	0.78	0.81
613	0.78	0.8
614	0.85	0.82
615	0.79	0.81
616	0.82	0.81
617	0.81	0.81
618	0.72	0.77
619	0.82	0.79
620	0.88	0.84
621	0.81	0.82
622	0.81	0.82
623	0.86	0.84
624	0.78	0.81
625	0.86	0.83
626	0.82	0.82
627	0.81	0.82
628	0.82	0.82
629	0.78	0.8
630	0.85	0.83
631	0.8	0.81
632	0.74	0.78
633	0.8	0.79
634	0.78	0.78
635	0.8	0.79
636	0.8	0.79
637	0.87	0.83
638	0.75	0.79
639	0.82	0.8
640	0.82	0.81
641	0.88	0.85
642	0.79	0.82
643	0.79	0.81
644	0.85	0.83
645	0.82	0.83
646	0.81	0.82
647	0.78	0.8
648	0.85	0.82
649	0.81	0.82
650	0.82	0.82
651	0.88	0.85
652	0.86	0.85
653	0.79	0.82
654	0.87	0.85
655	0.87	0.86
656	0.81	0.83
657	0.85	0.84
658	0.84	0.84
659	0.86	0.85
660	0.72	0.79
661	0.85	0.82
662	0.88	0.85
663	0.81	0.83
664	0.82	0.82
665	0.87	0.85
666	0.83	0.84
667	0.78	0.81
668	0.8	0.81
669	0.87	0.84
670	0.82	0.83
671	0.84	0.83
672	0.82	0.83
673	0.81	0.82
674	0.82	0.82
675	0.82	0.82
676	0.83	0.83
677	0.86	0.84
678	0.83	0.84
679	0.81	0.83
680	0.75	0.79
681	0.78	0.79
682	0.82	0.8
683	0.87	0.84
684	0.8	0.82
685	0.77	0.79
686	0.78	0.78
687	0.78	0.78
688	0.8	0.79
689	0.8	0.8
690	0.82	0.81
691	0.79	0.8
692	0.81	0.81
693	0.77	0.79
694	0.79	0.79
695	0.8	0.79
696	0.82	0.8
697	0.8	0.8
698	0.8	0.8
699	0.82	0.81
700	0.82	0.82
701	0.76	0.79
702	0.79	0.79
703	0.8	0.79
704	0.74	0.77
705	0.79	0.78
706	0.84	0.81
707	0.72	0.77
708	0.87	0.82
709	0.78	0.8
710	0.76	0.78
711	0.83	0.81
712	0.75	0.78
713	0.79	0.79
714	0.8	0.79
715	0.81	0.8
716	0.78	0.79
717	0.76	0.78
718	0.8	0.79
719	0.83	0.81
720	0.83	0.82
721	0.78	0.8
722	0.86	0.83
723	0.85	0.84
724	0.84	0.84
725	0.79	0.81
726	0.85	0.83
727	0.81	0.82
728	0.77	0.79
729	0.79	0.79
730	0.8	0.8
731	0.78	0.79
732	0.82	0.8
733	0.79	0.8
734	0.8	0.8
735	0.82	0.81
736	0.77	0.79
737	0.84	0.81
738	0.85	0.83
739	0.8	0.81
740	0.86	0.83
741	0.82	0.83
742	0.76	0.79
743	0.76	0.78
744	0.79	0.78
745	0.84	0.81
746	0.86	0.84
747	0.77	0.8
748	0.82	0.81
749	0.81	0.81
750	0.79	0.8
751	0.81	0.81
752	0.77	0.79
753	0.82	0.8
754	0.81	0.81
755	0.84	0.82
756	0.82	0.82
757	0.8	0.81
758	0.73	0.77
759	0.86	0.82
760	0.77	0.8
761	0.75	0.77
762	0.83	0.8
763	0.78	0.79
764	0.87	0.83
765	0.81	0.82
766	0.84	0.83
767	0.86	0.85
768	0.83	0.84
769	0.8	0.82
770	0.85	0.84
771	0.78	0.81
772	0.85	0.83
773	0.79	0.81
774	0.8	0.81
775	0.78	0.79
776	0.87	0.83
777	0.83	0.83
778	0.79	0.81
779	0.81	0.81
780	0.78	0.79
781	0.84	0.82
782	0.87	0.85
783	0.81	0.83
784	0.83	0.83
785	0.78	0.8
786	0.79	0.8
787	0.77	0.78
788	0.77	0.78
789	0.79	0.78
790	0.8	0.79
791	0.79	0.79
792	0.8	0.8
793	0.87	0.83
794	0.77	0.8
795	0.78	0.79
796	0.84	0.82
797	0.78	0.8
798	0.83	0.81
799	0.84	0.83
800	0.77	0.8
801	0.81	0.81
802	0.76	0.78
803	0.84	0.81
804	0.75	0.78
805	0.83	0.81
806	0.78	0.79
807	0.8	0.8
808	0.81	0.8
809	0.81	0.81
810	0.73	0.77
811	0.83	0.8
812	0.74	0.77
813	0.84	0.8
814	0.84	0.82
815	0.86	0.84
816	0.79	0.81
817	0.83	0.82
818	0.88	0.85
819	0.82	0.84
820	0.8	0.82
821	0.8	0.81
822	0.79	0.8
823	0.79	0.8
824	0.86	0.83
825	0.78	0.8
826	0.79	0.8
827	0.82	0.81
828	0.78	0.79
829	0.85	0.82
830	0.83	0.83
831	0.85	0.84
832	0.78	0.81
833	0.79	0.8
834	0.8	0.8
835	0.84	0.82
836	0.79	0.8
837	0.75	0.78
838	0.76	0.77
839	0.81	0.79
840	0.77	0.78
841	0.78	0.78
842	0.79	0.79
843	0.78	0.78
844	0.78	0.78
845	0.74	0.76
846	0.86	0.81
847	0.8	0.81
848	0.84	0.82
849	0.82	0.82
850	0.78	0.8
851	0.83	0.82
852	0.76	0.79
853	0.81	0.8
854	0.83	0.81
855	0.82	0.81
856	0.79	0.8
857	0.76	0.78
858	0.8	0.79
859	0.8	0.79
860	0.82	0.81
861	0.84	0.82
862	0.8	0.81
863	0.79	0.8
864	0.82	0.81
865	0.82	0.81
866	0.81	0.81
867	0.83	0.82
868	0.78	0.8
869	0.78	0.79
870	0.84	0.81
871	0.81	0.81
872	0.82	0.82
873	0.75	0.78
874	0.82	0.8
875	0.81	0.81
876	0.81	0.81
877	0.84	0.82
878	0.82	0.82
879	0.87	0.85
880	0.79	0.82
881	0.81	0.81
882	0.85	0.83
883	0.79	0.81
884	0.81	0.81
885	0.79	0.8
886	0.82	0.81
887	0.82	0.82
888	0.78	0.8
889	0.78	0.79
890	0.89	0.84
891	0.82	0.83
892	0.76	0.8
893	0.78	0.79
894	0.85	0.82
895	0.84	0.83
896	0.8	0.81
897	0.83	0.82
898	0.8	0.81
899	0.77	0.79
900	0.87	0.83
901	0.8	0.82
902	0.81	0.81
903	0.77	0.79
904	0.83	0.81
905	0.79	0.8
906	0.76	0.78
907	0.84	0.81
908	0.89	0.85
909	0.81	0.83
910	0.76	0.79
911	0.82	0.81
912	0.81	0.81
913	0.84	0.82
914	0.76	0.79
915	0.75	0.77
916	0.88	0.83
917	0.8	0.81
918	0.86	0.84
919	0.82	0.83
920	0.83	0.83
921	0.78	0.81
922	0.79	0.8
923	0.72	0.76
924	0.8	0.78
925	0.81	0.79
926	0.75	0.77
927	0.78	0.78
928	0.85	0.81
929	0.87	0.84
930	0.8	0.82
931	0.81	0.81
932	0.78	0.8
933	0.88	0.84
934	0.79	0.81
935	0.84	0.82
936	0.85	0.84
937	0.77	0.8
938	0.81	0.81
939	0.78	0.79
940	0.8	0.79
941	0.78	0.79
942	0.76	0.78
943	0.83	0.8
944	0.81	0.81
945	0.8	0.8
946	0.84	0.82
947	0.8	0.81
948	0.79	0.8
949	0.77	0.78
950	0.83	0.81
951	0.86	0.83
952	0.77	0.8
953	0.8	0.8
954	0.75	0.77
955	0.8	0.79
956	0.82	0.8
957	0.82	0.81
958	0.79	0.8
959	0.77	0.78
960	0.77	0.78
961	0.85	0.81
962	0.8	0.81
963	0.83	0.82
964	0.8	0.81
965	0.79	0.8
966	0.86	0.83
967	0.84	0.84
968	0.73	0.78
969	0.83	0.81
970	0.78	0.79
971	0.77	0.78
972	0.81	0.8
973	0.8	0.8
974	0.84	0.82
975	0.82	0.82
976	0.79	0.8
977	0.81	0.81
978	0.76	0.78
979	0.77	0.78
980	0.81	0.79
981	0.84	0.82
982	0.83	0.82
983	0.84	0.83
984	0.83	0.83
985	0.77	0.8
986	0.81	0.8
987	0.9	0.85
988	0.82	0.83
989	0.8	0.82
990	0.84	0.83
991	0.79	0.81
992	0.82	0.81
993	0.81	0.81
994	0.82	0.81
995	0.82	0.82
996	0.75	0.78
997	0.83	0.81
998	0.77	0.79
999	0.83	0.81
1000	0.87	0.84
1001	0.81	0.83
1002	0.86	0.84
1003	0.85	0.85
1004	0.8	0.82
1005	0.85	0.84
1006	0.85	0.84
1007	0.82	0.83
1008	0.8	0.82
1009	0.8	0.81
1010	0.84	0.82
1011	0.82	0.82
1012	0.85	0.83
1013	0.81	0.82
1014	0.81	0.82
1015	0.84	0.83
1016	0.85	0.84
1017	0.84	0.84
1018	0.8	0.82
1019	0.81	0.82
1020	0.81	0.81
1021	0.83	0.82
1022	0.79	0.81
1023	0.77	0.79
1024	0.82	0.8
1025	0.72	0.76
1026	0.81	0.79
1027	0.83	0.81
1028	0.8	0.8
1029	0.86	0.83
1030	0.73	0.78
1031	0.82	0.8
1032	0.83	0.82
1033	0.81	0.81
1034	0.76	0.79
1035	0.82	0.81
1036	0.77	0.79
1037	0.86	0.82
1038	0.81	0.82
1039	0.81	0.81
1040	0.73	0.77
1041	0.83	0.8
1042	0.91	0.86
1043	0.82	0.84
1044	0.86	0.85
1045	0.81	0.83
1046	0.88	0.86
1047	0.79	0.82
1048	0.77	0.8
1049	0.84	0.82
1050	0.78	0.8
1051	0.84	0.82
1052	0.78	0.8
1053	0.72	0.76
1054	0.79	0.78
1055	0.84	0.81
1056	0.8	0.81
1057	0.82	0.81
1058	0.89	0.85
1059	0.84	0.85
1060	0.84	0.84
1061	0.87	0.86
1062	0.82	0.84
1063	0.83	0.84
1064	0.86	0.85
1065	0.8	0.82
1066	0.83	0.83
1067	0.82	0.82
1068	0.75	0.79
1069	0.81	0.8
1070	0.85	0.82
1071	0.82	0.82
1072	0.76	0.79
1073	0.87	0.83
1074	0.81	0.82
1075	0.86	0.84
1076	0.8	0.82
1077	0.77	0.79
1078	0.84	0.82
1079	0.85	0.83
1080	0.72	0.77
1081	0.82	0.79
1082	0.8	0.8
1083	0.85	0.82
1084	0.88	0.85
1085	0.84	0.85
1086	0.78	0.81
1087	0.79	0.8
1088	0.84	0.82
1089	0.86	0.84
1090	0.87	0.85
1091	0.86	0.86
1092	0.81	0.83
1093	0.79	0.81
1094	0.89	0.85
1095	0.82	0.84
1096	0.8	0.82
1097	0.81	0.82
1098	0.81	0.81
1099	0.81	0.81
1100	0.85	0.83
1101	0.8	0.82
1102	0.79	0.8
1103	0.89	0.85
1104	0.86	0.85
1105	0.81	0.83
1106	0.83	0.83
1107	0.74	0.78
1108	0.77	0.78
1109	0.79	0.79
1110	0.8	0.79
1111	0.83	0.81
1112	0.81	0.81
1113	0.78	0.8
1114	0.75	0.77
1115	0.83	0.8
1116	0.89	0.85
1117	0.77	0.81
1118	0.79	0.8
1119	0.82	0.81
1120	0.78	0.79
1121	0.81	0.8
1122	0.89	0.85
1123	0.78	0.81
1124	0.84	0.83
1125	0.84	0.83
1126	0.91	0.87
1127	0.81	0.84
1128	0.8	0.82
1129	0.81	0.82
1130	0.87	0.84
1131	0.86	0.85
1132	0.8	0.83
1133	0.77	0.8
1134	0.79	0.79
1135	0.85	0.82
1136	0.86	0.84
1137	0.84	0.84
1138	0.83	0.83
1139	0.81	0.82
1140	0.83	0.82
1141	0.82	0.82
1142	0.79	0.81
1143	0.83	0.82
1144	0.8	0.81
1145	0.85	0.83
1146	0.82	0.82
1147	0.83	0.83
1148	0.88	0.85
1149	0.82	0.83
1150	0.84	0.83
1151	0.8	0.82
1152	0.81	0.81
1153	0.84	0.83
1154	0.8	0.81
1155	0.79	0.8
1156	0.79	0.8
1157	0.87	0.83
1158	0.86	0.84
1159	0.76	0.8
1160	0.8	0.8
1161	0.83	0.82
1162	0.79	0.8
1163	0.83	0.81
1164	0.84	0.83
1165	0.83	0.83
1166	0.86	0.85
1167	0.79	0.82
1168	0.86	0.84
1169	0.81	0.83
1170	0.87	0.85
1171	0.82	0.83
1172	0.88	0.86
1173	0.83	0.84
1174	0.79	0.82
1175	0.85	0.83
1176	0.81	0.82
1177	0.85	0.83
1178	0.87	0.85
1179	0.79	0.82
1180	0.83	0.82
1181	0.75	0.79
1182	0.85	0.82
1183	0.82	0.82
1184	0.85	0.84
1185	0.8	0.82
1186	0.83	0.82
1187	0.82	0.82
1188	0.88	0.85
1189	0.79	0.82
1190	0.79	0.81
1191	0.82	0.81
1192	0.89	0.85
1193	0.84	0.85
1194	0.82	0.83
1195	0.8	0.82
1196	0.77	0.8
1197	0.84	0.82
1198	0.82	0.82
1199	0.8	0.81
1200	0.82	0.82
1201	0.84	0.83
1202	0.78	0.8
1203	0.84	0.82
1204	0.79	0.81
1205	0.78	0.79
1206	0.77	0.78
1207	0.77	0.78
1208	0.79	0.78
1209	0.84	0.81
1210	0.79	0.8
1211	0.88	0.84
1212	0.84	0.84
1213	0.77	0.81
1214	0.85	0.83
1215	0.86	0.84
1216	0.8	0.82
1217	0.87	0.85
1218	0.84	0.85
1219	0.83	0.84
1220	0.81	0.82
1221	0.81	0.81
1222	0.78	0.8
1223	0.77	0.78
1224	0.83	0.81
1225	0.85	0.83
