..\Logs\24x6_INV_KNM\Dynamic\Discrete_Continuous\Synapse\
Cummulative Reward: 16745.070000
Trial#	Reward	Avg_Reward
0	0.71	0.36
1	0.74	0.55
2	0.73	0.64
3	0.83	0.74
4	0.79	0.76
5	0.74	0.75
6	0.7	0.73
7	0.82	0.77
8	0.8	0.79
9	0.79	0.79
10	0.78	0.78
11	0.68	0.73
12	0.75	0.74
13	0.81	0.77
14	0.77	0.77
15	0.76	0.77
16	0.81	0.79
17	0.77	0.78
18	0.75	0.76
19	0.78	0.77
20	0.82	0.8
21	0.73	0.76
22	0.81	0.79
23	0.77	0.78
24	0.76	0.77
25	0.75	0.76
26	0.76	0.76
27	0.74	0.75
28	0.75	0.75
29	0.74	0.74
30	0.78	0.76
31	0.75	0.76
32	0.71	0.73
33	0.72	0.73
34	0.73	0.73
35	0.73	0.73
36	0.8	0.76
37	0.77	0.77
38	0.74	0.75
39	0.78	0.77
40	0.78	0.77
41	0.76	0.77
42	0.69	0.73
43	0.75	0.74
44	0.73	0.73
45	0.77	0.75
46	0.75	0.75
47	0.78	0.76
48	0.74	0.75
49	0.83	0.79
50	0.84	0.81
51	0.8	0.81
52	0.83	0.82
53	0.75	0.79
54	0.83	0.81
55	0.76	0.78
56	0.86	0.82
57	0.74	0.78
58	0.75	0.76
59	0.74	0.75
60	0.72	0.74
61	0.79	0.76
62	0.82	0.79
63	0.75	0.77
64	0.77	0.77
65	0.8	0.78
66	0.78	0.78
67	0.69	0.73
68	0.77	0.75
69	0.77	0.76
70	0.78	0.77
71	0.82	0.8
72	0.69	0.75
73	0.75	0.75
74	0.72	0.74
75	0.75	0.74
76	0.72	0.73
77	0.8	0.76
78	0.83	0.8
79	0.77	0.79
80	0.79	0.79
81	0.77	0.78
82	0.76	0.77
83	0.8	0.78
84	0.73	0.76
85	0.71	0.74
86	0.77	0.75
87	0.76	0.76
88	0.79	0.77
89	0.78	0.78
90	0.7	0.74
91	0.77	0.75
92	0.82	0.79
93	0.75	0.77
94	0.8	0.78
95	0.81	0.8
96	0.82	0.81
97	0.79	0.8
98	0.75	0.78
99	0.77	0.77
100	0.83	0.8
101	0.77	0.79
102	0.77	0.78
103	0.79	0.79
104	0.79	0.79
105	0.75	0.77
106	0.81	0.79
107	0.8	0.79
108	0.76	0.78
109	0.79	0.78
110	0.82	0.8
111	0.79	0.79
112	0.75	0.77
113	0.73	0.75
114	0.72	0.73
115	0.74	0.74
116	0.74	0.74
117	0.76	0.75
118	0.75	0.75
119	0.75	0.75
120	0.75	0.75
121	0.73	0.74
122	0.72	0.73
123	0.72	0.73
124	0.75	0.74
125	0.72	0.73
126	0.69	0.71
127	0.81	0.76
128	0.78	0.77
129	0.75	0.76
130	0.74	0.75
131	0.72	0.74
132	0.71	0.72
133	0.75	0.73
134	0.78	0.76
135	0.82	0.79
136	0.75	0.77
137	0.81	0.79
138	0.77	0.78
139	0.72	0.75
140	0.75	0.75
141	0.82	0.79
142	0.79	0.79
143	0.85	0.82
144	0.84	0.83
145	0.78	0.81
146	0.78	0.79
147	0.83	0.81
148	0.82	0.81
149	0.79	0.8
150	0.77	0.79
151	0.77	0.78
152	0.76	0.77
153	0.81	0.79
154	0.83	0.81
155	0.73	0.77
156	0.79	0.78
157	0.76	0.77
158	0.81	0.79
159	0.81	0.8
160	0.78	0.79
161	0.79	0.79
162	0.82	0.8
163	0.71	0.76
164	0.78	0.77
165	0.81	0.79
166	0.78	0.79
167	0.75	0.77
168	0.75	0.76
169	0.73	0.74
170	0.71	0.72
171	0.82	0.77
172	0.71	0.74
173	0.73	0.74
174	0.8	0.77
175	0.73	0.75
176	0.83	0.79
177	0.82	0.81
178	0.8	0.8
179	0.74	0.77
180	0.78	0.78
181	0.84	0.81
182	0.74	0.77
183	0.81	0.79
184	0.78	0.78
185	0.8	0.79
186	0.84	0.82
187	0.84	0.83
188	0.77	0.8
189	0.72	0.76
190	0.78	0.77
191	0.74	0.75
192	0.81	0.78
193	0.83	0.81
194	0.83	0.82
195	0.81	0.81
196	0.81	0.81
197	0.78	0.8
198	0.78	0.79
199	0.77	0.78
200	0.72	0.75
201	0.73	0.74
202	0.86	0.8
203	0.82	0.81
204	0.74	0.78
205	0.77	0.77
206	0.85	0.81
207	0.77	0.79
208	0.74	0.77
209	0.81	0.79
210	0.75	0.77
211	0.8	0.79
212	0.83	0.81
213	0.73	0.77
214	0.79	0.78
215	0.82	0.8
216	0.82	0.81
217	0.77	0.79
218	0.8	0.79
219	0.75	0.77
220	0.8	0.79
221	0.8	0.8
222	0.74	0.77
223	0.72	0.74
224	0.83	0.79
225	0.76	0.77
226	0.72	0.75
227	0.78	0.76
228	0.76	0.76
229	0.78	0.77
230	0.85	0.81
231	0.73	0.77
232	0.8	0.78
233	0.75	0.77
234	0.76	0.76
235	0.78	0.77
236	0.77	0.77
237	0.78	0.78
238	0.7	0.74
239	0.74	0.74
240	0.75	0.74
241	0.77	0.76
242	0.81	0.78
243	0.71	0.75
244	0.73	0.74
245	0.75	0.74
246	0.8	0.77
247	0.75	0.76
248	0.78	0.77
249	0.78	0.78
250	0.72	0.75
251	0.77	0.76
252	0.74	0.75
253	0.82	0.78
254	0.76	0.77
255	0.76	0.76
256	0.79	0.78
257	0.77	0.78
258	0.84	0.81
259	0.85	0.83
260	0.78	0.8
261	0.76	0.78
262	0.77	0.78
263	0.82	0.8
264	0.77	0.79
265	0.85	0.82
266	0.82	0.82
267	0.74	0.78
268	0.76	0.77
269	0.73	0.75
270	0.79	0.77
271	0.8	0.78
272	0.82	0.8
273	0.81	0.8
274	0.75	0.78
275	0.81	0.8
276	0.73	0.76
277	0.79	0.77
278	0.73	0.75
279	0.81	0.78
280	0.77	0.77
281	0.79	0.78
282	0.8	0.79
283	0.74	0.76
284	0.8	0.78
