..\Logs\24x6_INV_KNM\Dynamic\Discrete_Continuous\Unit\
Cummulative Reward: 15705.070000
Trial#	Reward	Avg_Reward
0	0.58	0.29
1	0.73	0.51
2	0.76	0.64
3	0.71	0.67
4	0.75	0.71
5	0.69	0.7
6	0.75	0.72
7	0.76	0.74
8	0.61	0.68
9	0.66	0.67
10	0.78	0.72
11	0.62	0.67
12	0.62	0.65
13	0.74	0.69
14	0.7	0.69
15	0.73	0.71
16	0.73	0.72
17	0.63	0.67
18	0.76	0.72
19	0.79	0.75
20	0.8	0.78
21	0.6	0.69
22	0.64	0.67
23	0.65	0.66
24	0.8	0.73
25	0.68	0.71
26	0.72	0.71
27	0.79	0.75
28	0.86	0.81
29	0.68	0.74
30	0.78	0.76
31	0.75	0.75
32	0.77	0.76
33	0.81	0.78
34	0.77	0.78
35	0.71	0.74
36	0.74	0.74
37	0.73	0.73
38	0.68	0.71
39	0.76	0.73
40	0.77	0.75
41	0.85	0.8
42	0.7	0.75
43	0.62	0.68
44	0.67	0.68
45	0.82	0.75
46	0.71	0.73
47	0.76	0.74
48	0.69	0.72
49	0.7	0.71
50	0.78	0.74
51	0.68	0.71
52	0.78	0.75
53	0.76	0.75
54	0.71	0.73
55	0.75	0.74
56	0.75	0.75
57	0.81	0.78
58	0.8	0.79
59	0.83	0.81
60	0.81	0.81
61	0.75	0.78
62	0.8	0.79
63	0.77	0.78
64	0.79	0.78
65	0.77	0.78
66	0.78	0.78
67	0.73	0.75
68	0.76	0.76
69	0.8	0.78
70	0.73	0.75
71	0.77	0.76
72	0.78	0.77
73	0.7	0.73
74	0.83	0.78
75	0.8	0.79
76	0.78	0.79
77	0.78	0.78
78	0.79	0.79
79	0.84	0.81
80	0.87	0.84
81	0.76	0.8
82	0.79	0.79
83	0.81	0.8
84	0.8	0.8
85	0.84	0.82
86	0.77	0.79
87	0.83	0.81
88	0.64	0.73
89	0.81	0.77
90	0.8	0.79
91	0.77	0.78
92	0.76	0.77
93	0.76	0.77
94	0.77	0.77
95	0.83	0.8
96	0.82	0.81
97	0.83	0.82
98	0.73	0.78
99	0.85	0.81
100	0.78	0.8
101	0.82	0.81
102	0.78	0.8
103	0.81	0.8
104	0.72	0.76
105	0.75	0.76
106	0.8	0.78
107	0.73	0.75
108	0.79	0.77
109	0.8	0.78
110	0.75	0.77
111	0.78	0.78
112	0.84	0.81
113	0.81	0.81
114	0.75	0.78
115	0.82	0.8
116	0.81	0.81
117	0.83	0.82
118	0.66	0.74
119	0.77	0.76
120	0.84	0.8
121	0.8	0.8
122	0.75	0.78
123	0.83	0.8
124	0.83	0.82
125	0.83	0.82
126	0.82	0.82
127	0.82	0.82
128	0.78	0.8
129	0.83	0.81
130	0.79	0.8
131	0.89	0.85
132	0.79	0.82
133	0.83	0.82
134	0.79	0.81
135	0.83	0.82
136	0.81	0.82
137	0.74	0.78
138	0.81	0.79
139	0.77	0.78
140	0.75	0.77
141	0.77	0.77
142	0.86	0.81
143	0.81	0.81
144	0.74	0.78
145	0.82	0.8
146	0.8	0.8
147	0.77	0.78
148	0.89	0.83
149	0.74	0.79
150	0.8	0.79
151	0.81	0.8
152	0.83	0.81
153	0.85	0.83
154	0.81	0.82
155	0.78	0.8
156	0.81	0.8
157	0.9	0.85
158	0.81	0.83
159	0.76	0.8
160	0.82	0.81
161	0.82	0.81
162	0.81	0.81
163	0.87	0.84
164	0.84	0.84
165	0.82	0.83
166	0.85	0.84
167	0.83	0.83
168	0.84	0.84
169	0.8	0.82
170	0.77	0.79
171	0.81	0.8
172	0.81	0.81
173	0.73	0.77
174	0.79	0.78
175	0.87	0.82
176	0.75	0.79
177	0.84	0.81
178	0.75	0.78
179	0.79	0.79
180	0.85	0.82
181	0.8	0.81
182	0.78	0.8
183	0.87	0.83
184	0.81	0.82
185	0.77	0.8
186	0.79	0.8
187	0.81	0.8
188	0.77	0.79
189	0.76	0.77
190	0.73	0.75
191	0.77	0.76
192	0.8	0.78
193	0.85	0.82
194	0.83	0.82
195	0.83	0.83
196	0.75	0.79
197	0.77	0.78
198	0.81	0.79
199	0.86	0.83
200	0.82	0.82
201	0.81	0.82
202	0.84	0.83
203	0.81	0.82
204	0.82	0.82
205	0.82	0.82
206	0.83	0.83
207	0.79	0.81
208	0.83	0.82
209	0.82	0.82
210	0.82	0.82
211	0.82	0.82
212	0.84	0.83
213	0.79	0.81
214	0.83	0.82
215	0.8	0.81
216	0.84	0.82
217	0.8	0.81
218	0.76	0.78
219	0.82	0.8
220	0.85	0.82
221	0.8	0.81
222	0.77	0.79
223	0.81	0.8
224	0.82	0.81
225	0.82	0.81
226	0.79	0.8
227	0.81	0.81
228	0.81	0.81
229	0.82	0.82
230	0.8	0.81
231	0.74	0.77
232	0.87	0.82
233	0.73	0.77
234	0.87	0.82
235	0.85	0.84
236	0.81	0.82
237	0.87	0.85
238	0.77	0.81
239	0.82	0.81
240	0.83	0.82
241	0.81	0.82
242	0.84	0.83
243	0.87	0.85
244	0.88	0.86
245	0.77	0.82
246	0.76	0.79
247	0.72	0.76
248	0.86	0.81
249	0.8	0.81
250	0.81	0.81
251	0.84	0.82
252	0.8	0.81
253	0.87	0.84
254	0.81	0.83
255	0.78	0.8
256	0.82	0.81
257	0.78	0.8
258	0.82	0.81
259	0.79	0.8
260	0.82	0.81
261	0.79	0.8
262	0.89	0.84
263	0.76	0.8
264	0.87	0.84
265	0.81	0.82
266	0.76	0.79
267	0.84	0.82
268	0.83	0.82
269	0.79	0.81
270	0.86	0.83
271	0.84	0.84
272	0.8	0.82
273	0.85	0.83
274	0.88	0.86
275	0.78	0.82
276	0.87	0.84
277	0.81	0.83
278	0.85	0.84
279	0.87	0.85
280	0.75	0.8
281	0.81	0.81
282	0.79	0.8
283	0.82	0.81
284	0.81	0.81
285	0.81	0.81
286	0.8	0.81
287	0.78	0.79
288	0.87	0.83
289	0.78	0.81
290	0.86	0.83
291	0.8	0.82
292	0.82	0.82
293	0.84	0.83
294	0.88	0.86
295	0.81	0.83
296	0.81	0.82
297	0.83	0.83
298	0.78	0.8
299	0.85	0.83
300	0.78	0.8
301	0.88	0.84
302	0.82	0.83
303	0.87	0.85
304	0.81	0.83
305	0.82	0.83
306	0.82	0.82
307	0.86	0.84
308	0.79	0.82
309	0.73	0.77
310	0.8	0.79
311	0.84	0.81
312	0.83	0.82
313	0.8	0.81
314	0.76	0.78
315	0.86	0.82
316	0.81	0.82
317	0.8	0.81
318	0.78	0.79
319	0.77	0.78
320	0.79	0.79
321	0.77	0.78
322	0.82	0.8
323	0.85	0.82
324	0.8	0.81
325	0.78	0.8
326	0.78	0.79
327	0.85	0.82
328	0.84	0.83
329	0.81	0.82
330	0.86	0.84
331	0.77	0.8
332	0.82	0.81
333	0.83	0.82
334	0.8	0.81
335	0.86	0.84
336	0.82	0.83
337	0.74	0.78
338	0.84	0.81
339	0.82	0.82
340	0.84	0.83
341	0.87	0.85
342	0.79	0.82
343	0.87	0.85
344	0.82	0.83
345	0.81	0.82
346	0.85	0.84
347	0.8	0.82
348	0.78	0.8
349	0.81	0.81
350	0.8	0.8
351	0.85	0.82
352	0.86	0.84
353	0.85	0.85
354	0.85	0.85
355	0.81	0.83
356	0.8	0.82
357	0.76	0.79
358	0.8	0.8
359	0.8	0.8
360	0.84	0.82
361	0.85	0.84
362	0.81	0.82
363	0.85	0.84
364	0.84	0.84
365	0.78	0.81
