..\Logs\24x6_INV_KNM\Dynamic\Discrete_Continuous\Synapse\
Cummulative Reward: 17779.540000
Trial#	Reward	Avg_Reward
0	0.87	0.44
1	0.88	0.66
2	0.88	0.77
3	0.82	0.8
4	0.9	0.85
5	0.87	0.86
6	0.87	0.86
7	0.8	0.83
8	0.87	0.85
9	0.84	0.85
10	0.8	0.82
11	0.85	0.83
12	0.92	0.88
13	0.88	0.88
14	0.86	0.87
15	0.82	0.85
16	0.88	0.86
17	0.8	0.83
18	0.87	0.85
19	0.85	0.85
20	0.84	0.85
21	0.85	0.85
22	0.86	0.86
23	0.81	0.83
24	0.82	0.83
25	0.8	0.81
26	0.91	0.86
27	0.87	0.87
28	0.86	0.87
29	0.81	0.84
30	0.9	0.87
31	0.85	0.86
32	0.84	0.85
33	0.85	0.85
34	0.88	0.87
35	0.86	0.86
36	0.9	0.88
37	0.84	0.86
38	0.82	0.84
39	0.89	0.86
40	0.82	0.84
41	0.86	0.85
42	0.88	0.86
43	0.83	0.85
44	0.81	0.83
45	0.87	0.85
46	0.83	0.84
47	0.83	0.83
48	0.83	0.83
49	0.85	0.84
50	0.88	0.86
51	0.9	0.88
52	0.81	0.84
53	0.85	0.85
54	0.83	0.84
55	0.86	0.85
56	0.88	0.86
57	0.85	0.86
58	0.83	0.84
59	0.83	0.84
60	0.78	0.81
61	0.82	0.81
62	0.83	0.82
63	0.85	0.83
64	0.9	0.87
65	0.86	0.86
66	0.81	0.84
67	0.88	0.86
68	0.85	0.85
69	0.8	0.83
70	0.84	0.83
71	0.9	0.87
72	0.85	0.86
73	0.83	0.85
74	0.87	0.86
75	0.86	0.86
76	0.88	0.87
77	0.84	0.86
78	0.88	0.87
79	0.84	0.85
80	0.83	0.84
81	0.87	0.85
82	0.89	0.87
83	0.91	0.89
84	0.83	0.86
85	0.82	0.84
86	0.83	0.83
87	0.85	0.84
88	0.82	0.83
89	0.82	0.83
90	0.81	0.82
91	0.85	0.84
92	0.85	0.84
93	0.84	0.84
94	0.93	0.89
95	0.81	0.85
96	0.8	0.82
97	0.86	0.84
98	0.86	0.85
99	0.87	0.86
100	0.77	0.81
101	0.87	0.84
102	0.87	0.86
103	0.9	0.88
104	0.81	0.84
105	0.82	0.83
106	0.84	0.84
107	0.85	0.85
108	0.87	0.86
109	0.91	0.89
110	0.82	0.85
111	0.83	0.84
112	0.84	0.84
113	0.81	0.83
114	0.81	0.82
115	0.85	0.84
116	0.83	0.83
117	0.86	0.85
118	0.87	0.86
119	0.82	0.84
120	0.86	0.85
121	0.89	0.87
122	0.84	0.85
123	0.9	0.88
124	0.86	0.87
125	0.86	0.86
126	0.88	0.87
127	0.88	0.88
128	0.85	0.86
129	0.82	0.84
130	0.85	0.85
131	0.84	0.84
132	0.86	0.85
133	0.8	0.83
