..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Network\
Cummulative Reward: 13872.540000
Trial#	Reward	Avg_Reward
0	0.85	0.42
1	0.78	0.6
2	0.85	0.72
3	0.8	0.76
4	0.81	0.79
5	0.82	0.81
6	0.81	0.81
7	0.76	0.78
8	0.75	0.77
9	0.81	0.79
10	0.84	0.81
11	0.8	0.81
12	0.84	0.82
13	0.79	0.8
14	0.87	0.84
15	0.81	0.82
16	0.77	0.8
17	0.91	0.85
18	0.76	0.81
19	0.8	0.81
20	0.76	0.78
21	0.77	0.78
22	0.9	0.84
23	0.81	0.83
24	0.87	0.85
25	0.86	0.85
26	0.68	0.77
27	0.87	0.82
28	0.74	0.78
29	0.82	0.8
30	0.81	0.81
31	0.8	0.8
32	0.92	0.86
33	0.85	0.85
34	0.83	0.84
35	0.83	0.84
36	0.86	0.85
37	0.82	0.83
38	0.83	0.83
39	0.86	0.85
40	0.88	0.86
41	0.78	0.82
42	0.86	0.84
43	0.83	0.83
44	0.86	0.85
45	0.77	0.81
46	0.82	0.82
47	0.94	0.88
48	0.78	0.83
49	0.89	0.86
50	0.86	0.86
51	0.77	0.81
52	0.8	0.81
53	0.8	0.8
54	0.83	0.82
55	0.82	0.82
56	0.79	0.81
57	0.85	0.83
58	0.87	0.85
59	0.9	0.87
60	0.79	0.83
61	0.79	0.81
62	0.8	0.81
63	0.84	0.82
64	0.85	0.83
65	0.86	0.85
66	0.9	0.87
67	0.85	0.86
68	0.84	0.85
69	0.79	0.82
70	0.85	0.84
71	0.77	0.8
72	0.77	0.79
73	0.86	0.82
74	0.75	0.79
75	0.88	0.83
76	0.84	0.83
77	0.8	0.82
78	0.83	0.82
79	0.76	0.79
80	0.79	0.79
81	0.86	0.83
82	0.75	0.79
83	0.83	0.81
84	0.84	0.83
85	0.87	0.85
86	0.82	0.83
87	0.85	0.84
88	0.84	0.84
89	0.76	0.8
90	0.79	0.8
91	0.75	0.77
92	0.8	0.79
93	0.77	0.78
94	0.77	0.77
95	0.86	0.82
96	0.88	0.85
97	0.82	0.83
98	0.7	0.77
99	0.76	0.76
100	0.82	0.79
101	0.77	0.78
102	0.87	0.82
103	0.88	0.85
104	0.81	0.83
105	0.85	0.84
106	0.81	0.83
107	0.81	0.82
108	0.84	0.83
109	0.83	0.83
110	0.88	0.86
111	0.82	0.84
112	0.82	0.83
113	0.83	0.83
114	0.89	0.86
115	0.9	0.88
116	0.83	0.86
117	0.9	0.88
118	0.82	0.85
119	0.83	0.84
120	0.91	0.87
121	0.87	0.87
122	0.88	0.88
123	0.85	0.86
124	0.89	0.88
125	0.76	0.82
126	0.8	0.81
127	0.82	0.81
128	0.8	0.81
129	0.84	0.83
130	0.88	0.85
131	0.82	0.84
132	0.8	0.82
133	0.85	0.83
134	0.79	0.81
135	0.83	0.82
136	0.87	0.85
137	0.89	0.87
138	0.84	0.86
139	0.93	0.89
140	0.89	0.89
141	0.84	0.86
142	0.77	0.82
143	0.91	0.86
144	0.82	0.84
145	0.76	0.8
146	0.86	0.83
147	0.8	0.81
148	0.86	0.84
149	0.87	0.86
150	0.84	0.85
151	0.83	0.84
152	0.85	0.84
153	0.83	0.84
154	0.9	0.87
155	0.88	0.88
156	0.8	0.84
157	0.86	0.85
158	0.81	0.83
159	0.78	0.8
160	0.85	0.83
161	0.88	0.85
162	0.86	0.86
163	0.88	0.87
164	0.82	0.85
165	0.9	0.87
166	0.83	0.85
167	0.82	0.83
168	0.89	0.86
169	0.78	0.82
170	0.85	0.84
171	0.86	0.85
172	0.79	0.82
173	0.84	0.83
174	0.95	0.89
175	0.83	0.86
176	0.8	0.83
177	0.87	0.85
178	0.79	0.82
179	0.85	0.83
180	0.93	0.88
181	0.81	0.85
182	0.84	0.84
183	0.81	0.83
184	0.87	0.85
185	0.8	0.82
186	0.83	0.83
187	0.89	0.86
188	0.85	0.85
189	0.84	0.85
190	0.84	0.85
191	0.86	0.85
192	0.83	0.84
193	0.85	0.84
194	0.86	0.85
195	0.83	0.84
196	0.85	0.85
197	0.91	0.88
198	0.73	0.81
199	0.87	0.84
200	0.87	0.85
201	0.79	0.82
202	0.83	0.83
203	0.82	0.82
204	0.9	0.86
205	0.97	0.92
206	0.84	0.88
207	0.85	0.87
208	0.88	0.87
209	0.92	0.9
210	0.76	0.83
211	0.87	0.85
212	0.86	0.86
213	0.84	0.85
214	0.9	0.87
215	0.83	0.85
216	0.82	0.83
217	0.91	0.87
218	0.9	0.89
219	0.89	0.89
220	0.83	0.86
221	0.87	0.87
222	0.85	0.86
223	0.79	0.82
224	0.74	0.78
225	0.86	0.82
226	0.87	0.85
227	0.87	0.86
228	0.8	0.83
229	0.87	0.85
230	0.88	0.87
231	0.88	0.87
232	0.8	0.83
233	0.88	0.86
234	0.85	0.85
235	0.89	0.87
236	0.83	0.85
237	0.8	0.83
238	0.87	0.85
239	0.81	0.83
240	0.82	0.82
241	0.77	0.8
242	0.92	0.86
243	0.85	0.86
244	0.76	0.81
245	0.88	0.84
246	0.81	0.82
247	0.78	0.8
248	0.87	0.84
249	0.81	0.83
250	0.84	0.83
251	0.78	0.8
252	0.78	0.79
253	0.86	0.83
254	0.79	0.81
255	0.87	0.84
256	0.84	0.84
257	0.84	0.84
258	0.88	0.86
259	0.92	0.89
260	0.85	0.87
261	0.83	0.85
262	0.84	0.84
263	0.86	0.85
264	0.9	0.88
265	0.78	0.83
266	0.79	0.81
267	0.85	0.83
268	0.93	0.88
269	0.81	0.85
270	0.9	0.87
271	0.77	0.82
272	0.88	0.85
273	0.87	0.86
274	0.82	0.84
275	0.9	0.87
276	0.8	0.84
277	0.85	0.84
278	0.82	0.83
279	0.87	0.85
280	0.8	0.83
281	0.92	0.87
282	0.87	0.87
283	0.92	0.9
284	0.91	0.91
285	0.83	0.87
286	0.8	0.83
287	0.86	0.85
288	0.88	0.86
289	0.8	0.83
290	0.92	0.88
291	0.87	0.87
292	0.81	0.84
293	0.81	0.83
294	0.85	0.84
295	0.8	0.82
296	0.81	0.82
297	0.8	0.81
298	0.87	0.84
299	0.77	0.8
300	0.87	0.84
301	0.81	0.82
302	0.87	0.84
303	0.9	0.87
304	0.88	0.88
305	0.86	0.87
306	0.88	0.87
307	0.86	0.87
308	0.83	0.85
309	0.87	0.86
310	0.83	0.84
311	0.85	0.85
312	0.85	0.85
313	0.91	0.88
314	0.9	0.89
315	0.85	0.87
316	0.85	0.86
317	0.83	0.84
318	0.92	0.88
319	0.93	0.9
320	0.92	0.91
321	0.95	0.93
322	0.83	0.88
323	0.89	0.88
324	0.93	0.91
325	0.8	0.85
326	0.84	0.85
327	0.89	0.87
328	0.87	0.87
329	0.9	0.88
330	0.87	0.88
331	0.93	0.91
332	0.92	0.91
333	0.92	0.92
334	0.91	0.91
335	0.77	0.84
336	0.74	0.79
337	0.85	0.82
338	0.87	0.84
339	0.86	0.85
340	0.88	0.87
341	0.87	0.87
342	0.81	0.84
343	0.94	0.89
344	0.82	0.85
345	0.9	0.88
346	0.92	0.9
347	0.83	0.86
348	0.79	0.82
349	0.85	0.84
350	0.75	0.79
351	0.92	0.86
352	0.83	0.84
353	0.91	0.88
354	0.83	0.85
355	0.9	0.88
356	0.88	0.88
357	0.87	0.88
358	0.86	0.87
359	0.81	0.84
360	0.85	0.84
361	0.81	0.82
362	0.82	0.82
363	0.93	0.88
364	0.83	0.86
365	0.82	0.84
366	0.91	0.87
367	0.88	0.88
368	0.81	0.84
369	0.85	0.85
370	0.9	0.87
371	0.82	0.84
372	0.86	0.85
373	0.79	0.82
374	0.89	0.86
375	0.95	0.9
376	0.85	0.87
377	0.82	0.85
378	0.9	0.88
379	0.89	0.89
380	0.92	0.9
381	0.94	0.92
382	0.87	0.89
383	0.84	0.87
384	0.8	0.83
385	0.83	0.83
386	0.88	0.85
387	0.83	0.84
388	0.85	0.85
389	0.88	0.86
390	0.82	0.84
391	0.9	0.87
392	0.86	0.86
393	0.9	0.88
394	0.86	0.87
395	0.87	0.87
396	0.81	0.84
397	0.87	0.85
398	0.8	0.83
399	0.83	0.83
400	0.76	0.79
401	0.94	0.87
402	0.85	0.86
403	0.83	0.84
404	0.85	0.85
405	0.89	0.87
406	0.87	0.87
407	0.85	0.86
408	0.88	0.87
409	0.88	0.87
410	0.82	0.85
411	0.87	0.86
412	0.85	0.86
413	0.87	0.86
414	0.83	0.85
415	0.82	0.83
416	0.87	0.85
417	0.92	0.89
418	0.91	0.9
419	0.89	0.89
420	0.88	0.89
421	0.9	0.9
422	0.88	0.89
423	0.74	0.81
424	0.92	0.86
425	0.89	0.88
426	0.86	0.87
427	0.91	0.89
428	0.88	0.89
429	0.91	0.9
430	0.91	0.91
431	0.89	0.9
432	0.87	0.89
433	0.88	0.88
434	0.87	0.88
435	0.83	0.85
436	0.78	0.82
437	0.84	0.83
438	0.82	0.82
439	0.86	0.84
440	0.88	0.86
441	0.84	0.85
442	0.84	0.84
443	0.85	0.85
444	0.9	0.87
445	0.87	0.87
446	0.94	0.91
447	0.88	0.9
448	0.94	0.92
449	0.78	0.85
450	0.91	0.88
451	0.9	0.89
452	0.89	0.89
453	0.88	0.88
454	0.86	0.87
455	0.92	0.9
456	0.91	0.9
457	0.91	0.9
458	0.81	0.86
459	0.87	0.86
460	0.89	0.87
461	0.85	0.86
462	0.86	0.86
463	0.91	0.88
464	0.85	0.86
465	0.92	0.89
466	0.95	0.92
467	0.86	0.89
468	0.91	0.9
469	0.87	0.89
470	0.82	0.85
471	0.93	0.89
472	0.92	0.91
473	0.93	0.92
474	0.85	0.88
475	0.94	0.91
476	0.8	0.86
477	0.95	0.9
478	0.89	0.9
479	0.85	0.87
480	0.87	0.87
481	0.82	0.84
482	0.88	0.86
483	0.83	0.85
484	0.85	0.85
485	0.9	0.87
486	0.9	0.88
487	0.86	0.87
488	0.89	0.88
489	0.9	0.89
490	0.92	0.91
491	0.83	0.87
492	0.79	0.83
493	0.87	0.85
494	0.85	0.85
495	0.94	0.89
496	0.86	0.88
497	0.83	0.86
498	0.87	0.86
499	0.83	0.85
500	0.88	0.86
501	0.89	0.88
502	0.92	0.9
503	0.88	0.89
504	0.85	0.87
505	0.9	0.88
506	0.94	0.91
507	0.95	0.93
508	0.9	0.92
509	0.85	0.88
510	0.86	0.87
511	0.89	0.88
512	0.85	0.86
513	0.87	0.87
514	0.88	0.87
515	0.94	0.91
516	0.83	0.87
517	0.76	0.81
518	0.89	0.85
519	0.92	0.89
520	0.84	0.87
521	0.81	0.84
522	0.77	0.81
523	0.91	0.86
524	0.9	0.88
525	0.96	0.92
526	0.78	0.85
527	0.89	0.87
528	0.87	0.87
529	0.85	0.86
530	0.87	0.87
531	0.89	0.88
532	0.84	0.86
533	0.94	0.9
534	0.86	0.88
535	0.81	0.85
536	0.92	0.88
537	0.88	0.88
538	0.86	0.87
539	0.91	0.89
540	0.88	0.89
541	0.82	0.85
542	0.9	0.88
543	0.87	0.87
544	0.93	0.9
545	0.79	0.85
546	0.83	0.84
547	0.88	0.86
548	0.84	0.85
549	0.87	0.86
550	0.82	0.84
551	0.88	0.86
552	0.92	0.89
553	0.85	0.87
554	0.81	0.84
555	0.89	0.87
