..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Unit\
Cummulative Reward: 15480.250000
Trial#	Reward	Avg_Reward
0	0.78	0.39
1	0.67	0.53
2	0.8	0.67
3	0.66	0.66
4	0.81	0.74
5	0.68	0.71
6	0.88	0.79
7	0.88	0.84
8	0.81	0.82
9	0.72	0.77
10	0.67	0.72
11	0.8	0.76
12	0.74	0.75
13	0.78	0.76
14	0.77	0.77
15	0.73	0.75
16	0.93	0.84
17	0.8	0.82
18	0.72	0.77
19	0.74	0.75
20	0.67	0.71
21	0.77	0.74
22	0.79	0.77
23	0.76	0.76
24	0.89	0.83
25	0.62	0.72
26	0.81	0.76
27	0.87	0.82
28	0.83	0.82
29	0.89	0.86
30	0.85	0.85
31	0.96	0.91
32	0.8	0.85
33	0.87	0.86
34	0.87	0.87
35	0.8	0.83
36	0.76	0.8
37	0.76	0.78
38	0.56	0.67
39	0.93	0.8
40	0.74	0.77
41	0.74	0.76
42	0.81	0.78
43	0.85	0.82
44	0.83	0.82
45	0.85	0.83
46	0.73	0.78
47	0.77	0.78
48	0.82	0.8
49	0.75	0.77
50	0.77	0.77
51	0.88	0.83
52	0.76	0.79
53	0.8	0.8
54	0.82	0.81
55	0.81	0.81
56	0.76	0.79
57	0.68	0.73
58	0.84	0.79
59	0.85	0.82
60	0.92	0.87
61	0.9	0.88
62	0.8	0.84
63	0.86	0.85
64	0.85	0.85
65	0.97	0.91
66	0.93	0.92
67	0.89	0.91
68	0.79	0.85
69	0.76	0.8
70	0.78	0.79
71	0.87	0.83
72	0.97	0.9
73	0.91	0.9
74	0.88	0.89
75	0.74	0.82
76	0.85	0.83
77	0.83	0.83
78	0.76	0.8
79	0.69	0.74
80	0.74	0.74
81	0.81	0.77
82	0.88	0.83
83	0.83	0.83
84	0.79	0.81
85	0.81	0.81
86	0.82	0.81
87	0.75	0.78
88	0.85	0.82
89	0.91	0.87
90	0.87	0.87
91	0.86	0.87
92	0.8	0.83
93	0.94	0.89
94	0.95	0.92
95	0.87	0.89
