..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Synapse\
Cummulative Reward: 18228.000000
Trial#	Reward	Avg_Reward
0	0.7	0.35
1	0.82	0.58
2	0.83	0.71
3	0.7	0.7
4	0.7	0.7
5	0.82	0.76
6	0.82	0.79
7	0.79	0.79
8	0.78	0.78
9	0.77	0.78
10	0.79	0.78
11	0.74	0.76
12	0.74	0.75
13	0.75	0.75
14	0.84	0.79
15	0.73	0.76
16	0.77	0.76
17	0.73	0.75
18	0.64	0.7
19	0.72	0.71
20	0.71	0.71
21	0.85	0.78
22	0.82	0.8
23	0.87	0.83
24	0.8	0.82
25	0.75	0.78
26	0.7	0.74
27	0.9	0.82
28	0.87	0.85
29	0.77	0.81
30	0.7	0.75
31	0.7	0.73
32	0.76	0.74
33	0.9	0.82
34	0.79	0.8
35	0.79	0.8
36	0.76	0.78
37	0.89	0.83
38	0.78	0.81
39	0.73	0.77
40	0.79	0.78
41	0.85	0.81
42	0.81	0.81
43	0.81	0.81
44	0.9	0.86
45	0.77	0.81
46	0.78	0.8
47	0.72	0.76
48	0.67	0.72
49	0.84	0.78
50	0.84	0.81
51	0.75	0.78
52	0.73	0.76
53	0.84	0.8
54	0.81	0.8
55	0.83	0.82
56	0.78	0.8
57	0.8	0.8
58	0.73	0.76
59	0.72	0.74
60	0.74	0.74
61	0.76	0.75
62	0.77	0.76
63	0.78	0.77
64	0.7	0.74
65	0.8	0.77
66	0.83	0.8
67	0.8	0.8
68	0.77	0.79
69	0.82	0.8
70	0.72	0.76
71	0.75	0.76
72	0.83	0.79
73	0.78	0.78
74	0.84	0.81
75	0.86	0.84
76	0.93	0.88
77	0.73	0.8
78	0.82	0.81
79	0.85	0.83
80	0.84	0.83
81	0.87	0.85
82	0.82	0.84
83	0.74	0.79
84	0.83	0.81
85	0.76	0.78
86	0.73	0.76
87	0.83	0.79
88	0.89	0.84
89	0.79	0.82
90	0.9	0.86
91	0.83	0.85
92	0.83	0.84
93	0.84	0.84
94	0.78	0.81
95	0.89	0.85
96	0.87	0.86
97	0.83	0.85
98	0.81	0.83
99	0.76	0.79
100	0.8	0.8
101	0.86	0.83
102	0.75	0.79
103	0.78	0.79
104	0.78	0.78
105	0.88	0.83
106	0.86	0.85
107	0.79	0.82
108	0.83	0.83
109	0.76	0.79
110	0.69	0.74
111	0.85	0.8
112	0.88	0.84
113	0.83	0.83
114	0.73	0.78
115	0.77	0.78
116	0.78	0.78
117	0.77	0.77
118	0.76	0.77
119	0.78	0.77
120	0.75	0.76
121	0.83	0.79
122	0.85	0.82
123	0.88	0.85
124	0.81	0.83
125	0.84	0.84
126	0.75	0.8
127	0.85	0.82
128	0.73	0.77
129	0.75	0.76
130	0.84	0.8
131	0.85	0.82
132	0.88	0.85
133	0.87	0.86
134	0.79	0.83
135	0.77	0.8
136	0.87	0.83
137	0.81	0.82
138	0.83	0.83
139	0.71	0.77
140	0.89	0.83
141	0.81	0.82
142	0.91	0.87
143	0.82	0.84
144	0.79	0.81
145	0.82	0.82
146	0.79	0.8
147	0.86	0.83
148	0.82	0.83
149	0.83	0.83
150	0.75	0.79
151	0.8	0.79
152	0.87	0.83
153	0.93	0.88
154	0.81	0.85
155	0.87	0.86
156	0.87	0.86
157	0.8	0.83
158	0.87	0.85
159	0.9	0.87
160	0.83	0.85
161	0.89	0.87
162	0.84	0.85
163	0.91	0.88
164	0.8	0.84
165	0.84	0.84
166	0.77	0.81
167	0.87	0.84
168	0.85	0.85
169	0.69	0.77
170	0.8	0.79
171	0.86	0.82
172	0.84	0.83
173	0.77	0.8
174	0.88	0.84
175	0.84	0.84
176	0.91	0.87
177	0.77	0.82
178	0.83	0.83
179	0.85	0.84
180	0.8	0.82
181	0.79	0.8
182	0.79	0.8
183	0.83	0.81
184	0.73	0.77
185	0.9	0.83
186	0.84	0.84
187	0.84	0.84
188	0.86	0.85
189	0.73	0.79
190	0.88	0.83
191	0.83	0.83
192	0.86	0.85
193	0.8	0.82
194	0.84	0.83
195	0.81	0.82
196	0.81	0.82
197	0.82	0.82
198	0.84	0.83
199	0.87	0.85
200	0.76	0.8
201	0.77	0.79
202	0.84	0.81
203	0.85	0.83
204	0.79	0.81
205	0.85	0.83
206	0.71	0.77
207	0.81	0.79
208	0.89	0.84
209	0.79	0.81
210	0.92	0.87
211	0.89	0.88
212	0.86	0.87
213	0.88	0.87
214	0.87	0.87
215	0.87	0.87
216	0.88	0.87
217	0.73	0.8
218	0.83	0.81
219	0.8	0.81
220	0.85	0.83
221	0.81	0.82
222	0.8	0.81
223	0.87	0.84
