..\Logs\6x3_INV_KNM\Dynamic\Continuous_Continuous\Unit\
Cummulative Reward: 16660.500000
Trial#	Reward	Avg_Reward
0	0.92	0.46
1	0.87	0.66
2	0.9	0.78
3	0.93	0.86
4	0.87	0.86
5	0.89	0.88
6	0.87	0.87
7	0.87	0.87
8	0.84	0.86
9	0.85	0.85
10	0.77	0.81
11	0.88	0.85
12	0.88	0.87
13	0.94	0.9
14	0.9	0.9
15	0.92	0.91
16	0.8	0.85
17	0.88	0.86
18	0.93	0.9
19	0.87	0.88
20	0.86	0.87
21	0.87	0.87
22	0.91	0.89
23	0.95	0.92
24	0.85	0.89
25	0.79	0.84
26	0.93	0.88
27	0.98	0.93
28	0.92	0.93
29	0.72	0.82
30	0.8	0.81
31	0.82	0.82
32	0.93	0.87
33	0.86	0.87
34	0.78	0.82
35	0.87	0.84
36	0.82	0.83
37	0.91	0.87
38	0.94	0.91
39	0.84	0.87
40	0.72	0.79
41	0.91	0.85
42	0.87	0.86
43	0.67	0.76
44	0.9	0.83
45	0.95	0.89
46	0.89	0.89
47	0.94	0.92
48	0.91	0.91
49	0.93	0.92
50	0.82	0.87
51	0.98	0.92
52	0.85	0.89
53	0.9	0.9
54	0.94	0.92
55	0.84	0.88
56	0.87	0.88
57	0.88	0.88
58	0.91	0.89
59	0.81	0.85
60	0.9	0.87
61	0.87	0.87
62	0.88	0.88
63	0.92	0.9
64	0.9	0.9
65	0.84	0.87
66	0.86	0.86
67	0.83	0.85
68	0.74	0.8
69	0.87	0.83
70	0.94	0.89
71	0.94	0.91
72	0.9	0.9
73	0.91	0.91
74	0.76	0.83
75	0.86	0.85
76	0.88	0.86
77	0.85	0.86
78	0.92	0.89
79	0.91	0.9
80	0.95	0.92
81	0.93	0.93
82	0.91	0.92
83	0.84	0.88
84	0.88	0.88
85	0.86	0.87
86	0.8	0.84
87	0.78	0.81
88	0.91	0.86
89	0.95	0.9
90	0.92	0.91
91	0.9	0.91
92	0.87	0.89
93	0.84	0.86
94	0.87	0.87
95	0.87	0.87
96	0.92	0.89
97	0.92	0.9
98	0.8	0.85
99	0.93	0.89
100	0.94	0.92
101	0.94	0.93
102	0.94	0.93
103	0.96	0.95
104	0.88	0.92
105	0.84	0.88
106	0.84	0.86
107	0.87	0.86
108	0.92	0.89
109	0.9	0.9
110	0.92	0.91
111	0.88	0.9
112	0.88	0.89
113	0.96	0.92
114	0.89	0.9
115	0.9	0.9
116	0.88	0.89
117	0.95	0.92
118	0.88	0.9
119	0.88	0.89
120	0.87	0.88
121	0.94	0.91
122	0.84	0.88
123	0.91	0.9
124	0.89	0.89
125	0.9	0.89
126	0.95	0.92
127	0.9	0.91
128	0.87	0.89
129	0.92	0.9
130	0.8	0.85
131	0.95	0.9
132	0.87	0.89
133	0.95	0.92
134	0.73	0.83
135	0.82	0.82
136	0.96	0.89
137	0.92	0.91
138	0.96	0.94
139	0.94	0.94
140	0.95	0.94
141	0.87	0.91
142	0.85	0.88
143	0.84	0.86
144	0.9	0.88
145	0.92	0.9
146	0.87	0.88
147	0.96	0.92
148	0.89	0.9
149	0.88	0.89
150	0.91	0.9
151	0.97	0.93
152	0.93	0.93
153	0.77	0.85
154	0.87	0.86
155	0.86	0.86
156	0.94	0.9
157	0.91	0.91
158	0.89	0.9
159	0.97	0.93
160	0.93	0.93
161	0.97	0.95
162	0.93	0.94
163	0.92	0.93
164	0.93	0.93
165	0.92	0.92
166	0.92	0.92
167	0.89	0.91
168	0.88	0.89
169	0.89	0.89
170	0.97	0.93
171	0.86	0.89
172	0.9	0.89
173	0.92	0.91
174	0.95	0.93
175	0.92	0.92
176	0.96	0.94
177	0.97	0.95
178	0.95	0.95
179	0.87	0.91
180	0.95	0.93
181	0.93	0.93
182	0.94	0.94
183	0.88	0.91
184	0.81	0.86
185	0.89	0.87
186	0.82	0.85
187	0.94	0.9
188	0.96	0.93
189	0.91	0.92
190	0.96	0.94
191	0.93	0.94
192	0.8	0.87
193	0.92	0.89
194	0.95	0.92
195	0.95	0.93
196	0.87	0.9
197	0.87	0.89
198	0.93	0.91
199	0.93	0.92
200	0.92	0.92
201	0.83	0.88
202	0.89	0.88
203	0.89	0.89
204	0.96	0.92
205	0.94	0.93
206	0.96	0.95
207	0.83	0.89
208	0.83	0.86
209	0.88	0.87
210	0.92	0.89
211	0.99	0.94
212	0.92	0.93
213	0.86	0.9
214	0.95	0.92
215	0.85	0.89
216	0.94	0.92
217	0.92	0.92
218	0.86	0.89
219	0.92	0.9
220	0.83	0.86
221	0.86	0.86
222	0.97	0.91
223	0.9	0.91
224	0.96	0.93
225	0.88	0.9
226	0.89	0.9
227	0.86	0.88
228	0.95	0.91
229	0.91	0.91
230	0.96	0.93
231	0.91	0.92
232	0.89	0.9
233	0.94	0.92
234	0.98	0.95
235	0.9	0.92
236	0.87	0.89
237	0.92	0.91
238	0.95	0.93
239	0.86	0.89
240	0.97	0.93
241	0.93	0.93
242	0.88	0.9
243	0.93	0.92
244	0.95	0.93
245	0.94	0.94
246	0.89	0.91
247	0.96	0.94
248	0.98	0.96
249	0.89	0.92
250	0.92	0.92
251	0.91	0.91
252	0.93	0.92
253	0.9	0.91
254	0.97	0.94
255	0.92	0.93
256	0.96	0.95
257	0.92	0.93
258	0.87	0.9
259	0.96	0.93
260	0.96	0.94
261	0.93	0.94
262	0.89	0.91
263	0.96	0.94
264	0.94	0.94
265	0.94	0.94
266	0.92	0.93
267	0.9	0.91
268	0.93	0.92
269	0.94	0.93
