..\Logs\6x6_INV_KNM\Dynamic\Continuous_Continuous\Synapse\
Cummulative Reward: 17616.890000
Trial#	Reward	Avg_Reward
0	0.7	0.35
1	0.81	0.58
2	0.76	0.67
3	0.74	0.71
4	0.71	0.71
5	0.74	0.72
6	0.81	0.76
7	0.7	0.73
8	0.68	0.71
9	0.77	0.74
10	0.68	0.71
11	0.67	0.69
12	0.71	0.7
13	0.77	0.74
14	0.77	0.75
15	0.76	0.76
16	0.69	0.72
17	0.71	0.71
18	0.72	0.72
19	0.82	0.77
20	0.69	0.73
21	0.74	0.74
22	0.71	0.72
23	0.75	0.74
24	0.76	0.75
25	0.75	0.75
26	0.71	0.73
27	0.76	0.74
28	0.76	0.75
29	0.79	0.77
30	0.7	0.74
31	0.76	0.75
32	0.74	0.74
33	0.71	0.73
34	0.77	0.75
35	0.72	0.74
36	0.78	0.76
37	0.76	0.76
38	0.73	0.74
39	0.76	0.75
40	0.72	0.74
41	0.81	0.77
42	0.74	0.76
43	0.73	0.74
44	0.74	0.74
45	0.76	0.75
46	0.77	0.76
47	0.72	0.74
48	0.75	0.75
49	0.74	0.74
50	0.76	0.75
51	0.71	0.73
52	0.81	0.77
53	0.73	0.75
54	0.71	0.73
55	0.82	0.77
56	0.83	0.8
57	0.78	0.79
58	0.86	0.83
59	0.79	0.81
60	0.82	0.82
61	0.71	0.76
62	0.75	0.76
63	0.81	0.78
64	0.81	0.8
65	0.68	0.74
66	0.71	0.72
67	0.75	0.74
68	0.77	0.75
69	0.78	0.76
70	0.73	0.75
71	0.74	0.74
72	0.84	0.79
73	0.75	0.77
74	0.72	0.75
75	0.78	0.76
76	0.76	0.76
77	0.76	0.76
78	0.8	0.78
79	0.78	0.78
80	0.72	0.75
81	0.7	0.73
82	0.81	0.77
83	0.8	0.78
84	0.8	0.79
85	0.79	0.79
86	0.73	0.76
87	0.8	0.78
88	0.8	0.79
89	0.76	0.77
90	0.69	0.73
91	0.72	0.72
92	0.77	0.75
93	0.69	0.72
94	0.73	0.72
95	0.83	0.77
96	0.77	0.77
97	0.72	0.74
98	0.77	0.76
99	0.68	0.72
100	0.73	0.72
101	0.82	0.77
102	0.8	0.79
103	0.73	0.76
104	0.77	0.77
105	0.68	0.72
106	0.8	0.76
107	0.74	0.75
108	0.76	0.75
109	0.73	0.74
110	0.75	0.75
111	0.69	0.72
112	0.8	0.76
113	0.74	0.75
114	0.69	0.72
115	0.79	0.76
116	0.73	0.74
117	0.8	0.77
118	0.73	0.75
119	0.73	0.74
120	0.72	0.73
121	0.78	0.76
122	0.75	0.75
123	0.71	0.73
124	0.68	0.71
125	0.81	0.76
126	0.72	0.74
127	0.73	0.74
128	0.76	0.75
129	0.8	0.78
130	0.76	0.77
131	0.75	0.76
132	0.79	0.77
133	0.75	0.76
134	0.72	0.74
135	0.67	0.7
136	0.75	0.73
137	0.8	0.77
138	0.73	0.75
139	0.76	0.75
140	0.78	0.77
141	0.7	0.73
142	0.75	0.74
143	0.72	0.73
144	0.76	0.75
145	0.77	0.76
146	0.75	0.76
147	0.77	0.77
148	0.74	0.75
149	0.82	0.79
150	0.76	0.77
151	0.76	0.77
152	0.8	0.78
153	0.82	0.8
154	0.75	0.78
155	0.76	0.77
156	0.77	0.77
157	0.71	0.74
