..\Logs\6x6_INV_KNM\Dynamic\Continuous_Continuous\Network\
Cummulative Reward: 16558.470000
Trial#	Reward	Avg_Reward
0	0.73	0.37
1	0.89	0.63
2	0.72	0.67
3	0.84	0.76
4	0.83	0.8
5	0.85	0.82
6	0.8	0.81
7	0.78	0.8
8	0.86	0.83
9	0.85	0.84
10	0.69	0.76
11	0.84	0.8
12	0.8	0.8
13	0.83	0.82
14	0.84	0.83
15	0.78	0.8
16	0.85	0.83
17	0.76	0.79
18	0.83	0.81
19	0.86	0.83
20	0.84	0.84
21	0.85	0.84
22	0.74	0.79
23	0.77	0.78
24	0.82	0.8
25	0.82	0.81
26	0.78	0.79
27	0.83	0.81
28	0.85	0.83
29	0.7	0.76
30	0.84	0.8
31	0.82	0.81
32	0.85	0.83
33	0.78	0.8
34	0.68	0.74
35	0.8	0.77
36	0.77	0.77
37	0.79	0.78
38	0.83	0.81
39	0.77	0.79
40	0.82	0.8
41	0.74	0.77
42	0.9	0.83
43	0.84	0.84
44	0.88	0.86
45	0.87	0.87
46	0.79	0.83
47	0.7	0.76
48	0.84	0.8
49	0.85	0.83
50	0.81	0.82
51	0.77	0.79
52	0.84	0.82
53	0.81	0.81
54	0.84	0.83
55	0.85	0.84
56	0.84	0.84
57	0.8	0.82
58	0.88	0.85
59	0.85	0.85
60	0.85	0.85
61	0.84	0.85
62	0.76	0.8
63	0.88	0.84
64	0.88	0.86
65	0.87	0.86
66	0.84	0.85
67	0.84	0.85
68	0.78	0.82
69	0.84	0.83
70	0.83	0.83
71	0.82	0.83
72	0.78	0.8
73	0.86	0.83
74	0.85	0.84
75	0.82	0.83
76	0.86	0.84
77	0.85	0.85
78	0.86	0.85
79	0.81	0.83
80	0.73	0.78
81	0.9	0.84
82	0.84	0.84
83	0.82	0.83
84	0.78	0.81
85	0.81	0.81
86	0.82	0.81
87	0.83	0.82
88	0.85	0.84
89	0.87	0.85
90	0.84	0.85
91	0.83	0.84
92	0.77	0.8
93	0.77	0.78
94	0.82	0.8
95	0.86	0.83
96	0.86	0.84
97	0.88	0.86
98	0.81	0.84
99	0.84	0.84
100	0.84	0.84
101	0.79	0.82
102	0.86	0.84
103	0.85	0.85
104	0.82	0.83
105	0.85	0.84
106	0.85	0.85
107	0.82	0.83
108	0.83	0.83
109	0.86	0.84
110	0.88	0.86
111	0.85	0.86
112	0.85	0.86
113	0.83	0.84
114	0.88	0.86
115	0.88	0.87
116	0.82	0.85
117	0.85	0.85
118	0.79	0.82
119	0.81	0.82
120	0.92	0.87
121	0.87	0.87
122	0.85	0.86
123	0.83	0.84
124	0.87	0.86
125	0.84	0.85
126	0.86	0.85
127	0.83	0.84
128	0.86	0.85
129	0.9	0.88
130	0.86	0.87
131	0.85	0.86
132	0.84	0.85
133	0.82	0.83
134	0.88	0.86
135	0.79	0.83
136	0.84	0.83
137	0.89	0.86
138	0.82	0.84
139	0.85	0.84
140	0.85	0.85
141	0.88	0.86
142	0.83	0.84
143	0.85	0.85
144	0.85	0.85
145	0.8	0.83
146	0.88	0.85
147	0.82	0.84
148	0.8	0.82
149	0.85	0.83
150	0.83	0.83
151	0.83	0.83
152	0.87	0.85
153	0.88	0.86
154	0.84	0.85
155	0.85	0.85
156	0.86	0.86
157	0.83	0.84
158	0.88	0.86
159	0.89	0.87
160	0.8	0.84
161	0.84	0.84
162	0.88	0.86
163	0.87	0.86
164	0.82	0.84
165	0.83	0.83
166	0.85	0.84
167	0.84	0.84
168	0.84	0.84
169	0.83	0.84
170	0.84	0.84
171	0.86	0.85
172	0.78	0.82
173	0.87	0.84
174	0.81	0.82
175	0.83	0.83
176	0.84	0.83
177	0.88	0.86
178	0.83	0.85
179	0.8	0.82
180	0.85	0.83
181	0.8	0.82
182	0.8	0.81
183	0.87	0.84
184	0.83	0.83
185	0.8	0.82
186	0.85	0.83
187	0.85	0.84
188	0.87	0.86
189	0.84	0.85
190	0.85	0.85
191	0.83	0.84
192	0.85	0.84
193	0.92	0.88
194	0.85	0.87
195	0.87	0.87
196	0.84	0.85
197	0.85	0.85
198	0.83	0.84
199	0.87	0.85
200	0.79	0.82
201	0.83	0.83
202	0.91	0.87
203	0.85	0.86
204	0.84	0.85
205	0.83	0.84
206	0.86	0.85
207	0.8	0.83
208	0.85	0.84
209	0.85	0.84
210	0.87	0.86
211	0.88	0.87
212	0.83	0.85
213	0.88	0.86
214	0.86	0.86
215	0.83	0.85
216	0.88	0.86
217	0.85	0.86
218	0.85	0.85
219	0.84	0.85
220	0.83	0.84
221	0.87	0.85
222	0.83	0.84
223	0.84	0.84
224	0.87	0.86
225	0.85	0.85
226	0.92	0.89
227	0.88	0.88
228	0.82	0.85
229	0.83	0.84
230	0.85	0.85
231	0.87	0.86
232	0.88	0.87
233	0.85	0.86
234	0.86	0.86
235	0.8	0.83
236	0.85	0.84
237	0.89	0.87
238	0.88	0.87
239	0.82	0.85
240	0.87	0.86
241	0.85	0.86
242	0.77	0.81
243	0.84	0.83
244	0.79	0.81
245	0.85	0.83
246	0.86	0.85
247	0.87	0.86
248	0.8	0.83
249	0.81	0.82
250	0.86	0.84
251	0.82	0.83
252	0.86	0.85
253	0.85	0.85
254	0.82	0.83
255	0.82	0.83
256	0.85	0.84
257	0.88	0.86
258	0.84	0.85
259	0.85	0.85
260	0.77	0.81
261	0.78	0.8
262	0.81	0.8
263	0.82	0.81
264	0.81	0.81
265	0.8	0.8
266	0.85	0.83
267	0.79	0.81
268	0.86	0.83
269	0.85	0.84
270	0.84	0.84
271	0.81	0.82
272	0.83	0.83
273	0.84	0.83
274	0.84	0.84
275	0.84	0.84
276	0.88	0.86
277	0.82	0.84
278	0.91	0.87
279	0.89	0.88
280	0.83	0.86
281	0.88	0.87
282	0.8	0.83
283	0.88	0.86
284	0.8	0.83
285	0.8	0.81
286	0.88	0.84
287	0.82	0.83
288	0.82	0.83
289	0.87	0.85
290	0.83	0.84
291	0.83	0.84
292	0.84	0.84
293	0.87	0.86
294	0.83	0.84
295	0.79	0.82
296	0.78	0.8
297	0.78	0.79
298	0.85	0.82
299	0.82	0.82
300	0.81	0.82
301	0.83	0.82
302	0.78	0.8
303	0.83	0.82
304	0.88	0.85
305	0.83	0.84
306	0.88	0.86
307	0.88	0.87
308	0.88	0.87
309	0.76	0.82
310	0.89	0.85
311	0.85	0.85
312	0.87	0.86
313	0.85	0.86
314	0.82	0.84
315	0.84	0.84
316	0.81	0.82
317	0.9	0.86
318	0.82	0.84
319	0.83	0.84
320	0.79	0.81
321	0.8	0.81
322	0.86	0.83
323	0.86	0.84
324	0.88	0.86
325	0.85	0.85
326	0.8	0.83
327	0.9	0.87
328	0.85	0.86
329	0.86	0.86
330	0.81	0.83
331	0.86	0.85
332	0.86	0.85
333	0.81	0.83
334	0.8	0.81
335	0.86	0.84
336	0.87	0.85
337	0.85	0.85
338	0.92	0.88
339	0.83	0.85
340	0.8	0.83
341	0.89	0.86
342	0.85	0.86
343	0.81	0.83
344	0.84	0.83
345	0.85	0.84
346	0.84	0.84
347	0.79	0.81
348	0.85	0.83
349	0.87	0.85
350	0.85	0.85
351	0.85	0.85
352	0.84	0.84
353	0.87	0.86
354	0.82	0.84
355	0.88	0.86
356	0.86	0.86
357	0.86	0.86
358	0.81	0.83
359	0.79	0.81
360	0.83	0.82
361	0.84	0.83
362	0.83	0.83
363	0.86	0.84
364	0.89	0.86
365	0.85	0.86
366	0.86	0.86
367	0.85	0.85
368	0.83	0.84
369	0.89	0.87
370	0.85	0.86
371	0.83	0.85
372	0.84	0.84
373	0.84	0.84
374	0.83	0.84
375	0.83	0.83
376	0.86	0.84
377	0.84	0.84
378	0.85	0.85
379	0.84	0.84
380	0.82	0.83
381	0.87	0.85
382	0.84	0.84
383	0.82	0.83
384	0.85	0.84
385	0.82	0.83
386	0.86	0.84
387	0.79	0.82
388	0.88	0.85
389	0.82	0.83
390	0.84	0.84
391	0.87	0.85
392	0.88	0.87
393	0.79	0.83
394	0.83	0.83
395	0.84	0.83
396	0.83	0.83
397	0.8	0.81
398	0.83	0.82
399	0.86	0.84
400	0.9	0.87
401	0.9	0.88
402	0.82	0.85
403	0.83	0.84
404	0.84	0.84
405	0.85	0.84
406	0.86	0.85
407	0.87	0.86
408	0.86	0.86
409	0.86	0.86
410	0.86	0.86
411	0.87	0.86
412	0.85	0.86
413	0.85	0.85
414	0.8	0.83
415	0.84	0.83
416	0.85	0.84
417	0.8	0.82
418	0.82	0.82
419	0.81	0.81
420	0.85	0.83
421	0.82	0.83
422	0.86	0.84
423	0.82	0.83
424	0.84	0.84
425	0.84	0.84
426	0.79	0.82
427	0.85	0.83
428	0.83	0.83
429	0.87	0.85
430	0.89	0.87
431	0.84	0.86
432	0.89	0.87
433	0.85	0.86
434	0.82	0.84
435	0.87	0.86
436	0.87	0.86
437	0.85	0.86
438	0.82	0.84
439	0.81	0.82
440	0.85	0.84
441	0.84	0.84
442	0.84	0.84
443	0.81	0.83
444	0.83	0.83
445	0.91	0.87
446	0.84	0.85
447	0.89	0.87
448	0.87	0.87
449	0.85	0.86
450	0.84	0.85
451	0.85	0.85
452	0.84	0.85
453	0.85	0.85
454	0.84	0.84
455	0.84	0.84
456	0.79	0.81
457	0.82	0.82
458	0.85	0.84
459	0.88	0.86
460	0.84	0.85
461	0.78	0.82
462	0.81	0.81
463	0.81	0.81
464	0.84	0.82
465	0.85	0.84
466	0.81	0.82
467	0.79	0.8
468	0.91	0.86
469	0.78	0.82
470	0.84	0.83
471	0.87	0.85
472	0.88	0.87
473	0.87	0.87
474	0.84	0.86
475	0.86	0.86
476	0.83	0.84
477	0.85	0.85
478	0.85	0.85
479	0.88	0.86
480	0.83	0.85
481	0.85	0.85
482	0.8	0.82
483	0.85	0.83
484	0.87	0.85
485	0.89	0.87
486	0.83	0.85
487	0.82	0.84
488	0.86	0.85
489	0.83	0.84
490	0.86	0.85
491	0.86	0.85
492	0.85	0.85
493	0.9	0.87
494	0.87	0.87
495	0.89	0.88
496	0.88	0.88
497	0.84	0.86
498	0.82	0.84
499	0.82	0.83
500	0.86	0.84
501	0.87	0.86
502	0.85	0.86
503	0.85	0.85
504	0.79	0.82
505	0.86	0.84
506	0.81	0.83
507	0.87	0.85
508	0.85	0.85
509	0.84	0.84
510	0.88	0.86
511	0.87	0.86
512	0.84	0.85
513	0.84	0.85
514	0.84	0.84
515	0.79	0.82
516	0.84	0.83
517	0.87	0.85
518	0.85	0.85
519	0.85	0.85
520	0.86	0.86
521	0.89	0.87
522	0.86	0.87
523	0.81	0.84
524	0.89	0.87
525	0.86	0.86
526	0.83	0.85
527	0.79	0.82
528	0.86	0.84
529	0.85	0.84
530	0.81	0.83
531	0.85	0.84
532	0.84	0.84
533	0.86	0.85
534	0.85	0.85
535	0.84	0.85
536	0.81	0.83
537	0.84	0.83
538	0.84	0.84
539	0.84	0.84
540	0.81	0.82
541	0.84	0.83
542	0.87	0.85
543	0.85	0.85
544	0.87	0.86
545	0.88	0.87
546	0.84	0.85
547	0.84	0.85
548	0.85	0.85
549	0.85	0.85
550	0.81	0.83
551	0.81	0.82
552	0.82	0.82
553	0.83	0.82
554	0.86	0.84
555	0.85	0.84
556	0.87	0.86
557	0.81	0.83
558	0.83	0.83
559	0.87	0.85
560	0.84	0.85
561	0.87	0.86
562	0.83	0.85
563	0.88	0.86
564	0.86	0.86
565	0.85	0.85
566	0.79	0.82
567	0.83	0.82
568	0.89	0.86
569	0.83	0.84
570	0.86	0.85
571	0.85	0.85
572	0.83	0.84
573	0.87	0.85
574	0.84	0.84
575	0.84	0.84
576	0.87	0.85
577	0.85	0.85
578	0.87	0.86
579	0.86	0.86
580	0.89	0.88
581	0.86	0.87
582	0.83	0.85
583	0.82	0.83
584	0.81	0.82
585	0.84	0.83
586	0.82	0.83
587	0.89	0.86
588	0.85	0.85
589	0.84	0.85
590	0.88	0.86
591	0.85	0.85
592	0.85	0.85
593	0.83	0.84
594	0.89	0.86
595	0.85	0.86
596	0.83	0.84
597	0.81	0.82
598	0.85	0.84
599	0.81	0.82
600	0.83	0.83
601	0.86	0.85
602	0.92	0.88
603	0.89	0.89
604	0.83	0.86
605	0.85	0.85
606	0.84	0.85
607	0.82	0.84
608	0.79	0.81
609	0.8	0.81
610	0.81	0.81
611	0.84	0.82
612	0.83	0.83
613	0.84	0.83
614	0.8	0.81
615	0.84	0.83
616	0.84	0.84
617	0.86	0.85
618	0.81	0.83
619	0.86	0.84
620	0.85	0.85
621	0.91	0.88
622	0.87	0.87
623	0.78	0.83
624	0.86	0.84
625	0.81	0.83
626	0.88	0.85
627	0.85	0.85
628	0.84	0.85
629	0.84	0.85
630	0.85	0.85
631	0.83	0.84
632	0.85	0.84
633	0.84	0.84
634	0.86	0.85
635	0.89	0.87
636	0.83	0.85
637	0.86	0.86
638	0.81	0.84
639	0.92	0.88
640	0.83	0.86
641	0.85	0.85
642	0.84	0.85
643	0.87	0.86
644	0.85	0.86
645	0.89	0.87
646	0.83	0.85
647	0.85	0.85
648	0.82	0.83
649	0.83	0.83
650	0.81	0.82
651	0.79	0.81
652	0.82	0.81
653	0.87	0.84
654	0.85	0.84
655	0.85	0.85
656	0.83	0.84
657	0.89	0.86
658	0.84	0.85
659	0.81	0.83
660	0.88	0.86
661	0.84	0.85
662	0.89	0.87
663	0.85	0.86
664	0.84	0.85
665	0.86	0.85
