..\Logs\12x3_INV_KNM\Dynamic\Discrete_Continuous\Network\
Cummulative Reward: 14940.330000
Trial#	Reward	Avg_Reward
0	0.78	0.39
1	0.74	0.56
2	0.8	0.68
3	0.8	0.74
4	0.79	0.76
5	0.8	0.78
6	0.79	0.79
7	0.82	0.8
8	0.78	0.79
9	0.81	0.8
10	0.75	0.78
11	0.8	0.79
12	0.82	0.81
13	0.65	0.73
14	0.74	0.73
15	0.76	0.75
16	0.69	0.72
17	0.79	0.75
18	0.81	0.78
19	0.7	0.74
20	0.67	0.7
21	0.76	0.73
22	0.8	0.77
23	0.78	0.78
24	0.61	0.69
25	0.63	0.66
26	0.72	0.69
27	0.66	0.68
28	0.75	0.71
29	0.79	0.75
30	0.65	0.7
31	0.77	0.74
32	0.75	0.74
33	0.69	0.71
34	0.77	0.74
35	0.66	0.7
36	0.79	0.75
37	0.76	0.75
38	0.74	0.75
39	0.78	0.76
40	0.78	0.77
41	0.83	0.8
42	0.8	0.8
43	0.86	0.83
44	0.7	0.76
45	0.77	0.77
46	0.74	0.75
47	0.79	0.77
48	0.75	0.76
49	0.8	0.78
50	0.81	0.79
51	0.74	0.77
52	0.84	0.8
53	0.78	0.79
54	0.79	0.79
55	0.83	0.81
56	0.79	0.8
57	0.8	0.8
58	0.74	0.77
59	0.82	0.8
60	0.75	0.78
61	0.78	0.78
62	0.8	0.79
63	0.75	0.77
64	0.72	0.75
65	0.8	0.78
66	0.67	0.72
67	0.77	0.75
68	0.79	0.77
69	0.8	0.78
70	0.76	0.77
71	0.73	0.75
72	0.75	0.75
73	0.81	0.78
74	0.78	0.78
75	0.78	0.78
76	0.74	0.76
77	0.75	0.76
78	0.77	0.76
79	0.77	0.77
80	0.77	0.77
81	0.76	0.77
82	0.82	0.79
83	0.72	0.76
84	0.73	0.74
85	0.77	0.76
86	0.76	0.76
87	0.8	0.78
88	0.78	0.78
89	0.71	0.75
90	0.81	0.78
91	0.73	0.75
92	0.75	0.75
93	0.81	0.78
94	0.75	0.76
95	0.68	0.72
96	0.79	0.76
97	0.81	0.78
98	0.79	0.79
99	0.79	0.79
100	0.84	0.82
101	0.74	0.78
102	0.78	0.78
103	0.72	0.75
104	0.77	0.76
105	0.81	0.79
106	0.74	0.76
107	0.79	0.78
108	0.76	0.77
109	0.75	0.76
110	0.84	0.8
111	0.72	0.76
112	0.78	0.77
113	0.8	0.79
114	0.81	0.8
115	0.79	0.79
116	0.71	0.75
117	0.74	0.75
118	0.74	0.74
119	0.79	0.77
120	0.74	0.75
121	0.78	0.77
122	0.76	0.77
123	0.76	0.76
124	0.78	0.77
125	0.76	0.77
126	0.81	0.79
127	0.7	0.74
128	0.84	0.79
129	0.76	0.78
130	0.78	0.78
131	0.78	0.78
132	0.78	0.78
133	0.82	0.8
134	0.79	0.79
135	0.8	0.8
136	0.86	0.83
137	0.77	0.8
138	0.83	0.81
139	0.81	0.81
140	0.83	0.82
141	0.71	0.77
142	0.75	0.76
143	0.68	0.72
144	0.81	0.77
145	0.84	0.8
146	0.83	0.82
147	0.8	0.81
148	0.77	0.79
149	0.78	0.78
150	0.76	0.77
151	0.78	0.77
152	0.8	0.79
153	0.8	0.79
154	0.84	0.82
155	0.79	0.8
156	0.78	0.79
157	0.73	0.76
158	0.79	0.78
159	0.73	0.75
160	0.74	0.75
161	0.76	0.76
162	0.81	0.78
163	0.78	0.78
164	0.81	0.79
165	0.75	0.77
166	0.77	0.77
167	0.74	0.76
168	0.83	0.79
169	0.74	0.77
170	0.78	0.77
171	0.79	0.78
172	0.86	0.82
