..\Logs\21x3_INV_KNM\Dynamic\Discrete_Continuous\Unit\
Cummulative Reward: 15232.860000
Trial#	Reward	Avg_Reward
0	0.7	0.35
1	0.8	0.57
2	0.82	0.7
3	0.79	0.74
4	0.8	0.77
5	0.78	0.78
6	0.83	0.8
7	0.73	0.77
8	0.59	0.68
9	0.77	0.73
10	0.75	0.74
11	0.77	0.75
12	0.79	0.77
13	0.84	0.81
14	0.68	0.75
15	0.86	0.8
16	0.78	0.79
17	0.74	0.77
18	0.71	0.74
19	0.86	0.8
20	0.76	0.78
21	0.71	0.75
22	0.85	0.8
23	0.81	0.8
24	0.71	0.76
25	0.83	0.8
26	0.82	0.81
27	0.78	0.79
28	0.89	0.84
29	0.83	0.83
30	0.77	0.8
31	0.82	0.81
32	0.79	0.8
33	0.74	0.77
34	0.68	0.73
35	0.87	0.8
36	0.81	0.8
37	0.81	0.81
38	0.78	0.79
39	0.79	0.79
40	0.83	0.81
41	0.87	0.84
42	0.81	0.83
43	0.75	0.79
44	0.9	0.84
45	0.79	0.81
46	0.81	0.81
47	0.75	0.78
48	0.73	0.76
49	0.83	0.79
50	0.85	0.82
51	0.8	0.81
52	0.7	0.75
53	0.84	0.8
54	0.81	0.8
55	0.84	0.82
56	0.82	0.82
57	0.72	0.77
58	0.77	0.77
59	0.87	0.82
60	0.88	0.85
61	0.78	0.81
62	0.72	0.77
63	0.82	0.8
64	0.85	0.82
65	0.86	0.84
66	0.83	0.83
67	0.71	0.77
68	0.89	0.83
69	0.71	0.77
70	0.82	0.8
71	0.8	0.8
72	0.8	0.8
73	0.84	0.82
74	0.81	0.81
75	0.86	0.84
76	0.74	0.79
77	0.68	0.73
78	0.8	0.77
79	0.91	0.84
80	0.8	0.82
81	0.79	0.81
82	0.83	0.82
83	0.86	0.84
84	0.86	0.85
85	0.64	0.74
86	0.9	0.82
87	0.9	0.86
88	0.85	0.85
89	0.76	0.81
90	0.8	0.8
91	0.8	0.8
92	0.85	0.83
93	0.82	0.82
94	0.82	0.82
95	0.84	0.83
96	0.87	0.85
97	0.78	0.82
98	0.86	0.84
99	0.88	0.86
100	0.83	0.84
101	0.8	0.82
102	0.82	0.82
103	0.81	0.81
104	0.77	0.79
105	0.82	0.8
106	0.85	0.83
107	0.88	0.85
108	0.82	0.84
109	0.81	0.82
110	0.86	0.84
111	0.84	0.84
