..\Logs\24x6_INV_KNM\Dynamic\Discrete_Continuous\Network\
Cummulative Reward: 15937.370000
Trial#	Reward	Avg_Reward
0	0.7	0.35
1	0.77	0.56
2	0.8	0.68
3	0.78	0.73
4	0.8	0.76
5	0.83	0.8
6	0.78	0.79
7	0.82	0.8
8	0.83	0.82
9	0.83	0.82
10	0.74	0.78
11	0.8	0.79
12	0.85	0.82
13	0.81	0.82
14	0.81	0.81
15	0.87	0.84
16	0.79	0.81
17	0.76	0.79
18	0.84	0.82
19	0.74	0.78
20	0.78	0.78
21	0.65	0.71
22	0.77	0.74
23	0.61	0.67
24	0.85	0.76
25	0.82	0.79
26	0.8	0.8
27	0.71	0.75
28	0.73	0.74
29	0.71	0.73
30	0.76	0.74
31	0.84	0.79
32	0.79	0.79
33	0.85	0.82
34	0.85	0.83
35	0.83	0.83
36	0.84	0.83
37	0.77	0.8
38	0.83	0.81
39	0.74	0.78
40	0.69	0.73
41	0.8	0.77
42	0.75	0.76
43	0.84	0.8
44	0.8	0.8
45	0.81	0.81
46	0.76	0.79
47	0.77	0.78
48	0.75	0.77
49	0.85	0.81
50	0.82	0.81
51	0.83	0.82
52	0.82	0.82
53	0.82	0.82
54	0.81	0.82
55	0.81	0.82
56	0.82	0.82
57	0.78	0.8
58	0.82	0.81
59	0.78	0.8
60	0.84	0.82
61	0.81	0.81
62	0.82	0.82
63	0.81	0.81
64	0.82	0.81
65	0.84	0.83
66	0.78	0.81
67	0.73	0.77
68	0.76	0.76
69	0.78	0.77
70	0.73	0.75
71	0.83	0.79
72	0.8	0.8
73	0.82	0.81
74	0.82	0.81
75	0.77	0.79
76	0.78	0.78
77	0.82	0.8
78	0.77	0.79
79	0.81	0.8
80	0.82	0.81
81	0.8	0.8
82	0.79	0.8
83	0.79	0.79
84	0.75	0.77
85	0.85	0.81
86	0.85	0.83
87	0.82	0.83
88	0.79	0.81
89	0.83	0.82
90	0.76	0.79
91	0.77	0.78
92	0.82	0.8
93	0.76	0.78
94	0.78	0.78
95	0.83	0.81
96	0.81	0.81
97	0.8	0.8
98	0.81	0.81
99	0.76	0.79
100	0.84	0.81
101	0.84	0.83
102	0.77	0.8
103	0.8	0.8
104	0.76	0.78
105	0.67	0.73
106	0.82	0.77
107	0.78	0.78
108	0.81	0.8
109	0.79	0.79
110	0.83	0.81
111	0.78	0.8
112	0.76	0.78
113	0.82	0.8
114	0.83	0.82
115	0.81	0.81
116	0.78	0.8
117	0.77	0.78
118	0.79	0.79
119	0.81	0.8
120	0.82	0.81
121	0.78	0.79
122	0.79	0.79
123	0.8	0.79
124	0.81	0.8
125	0.81	0.81
126	0.79	0.8
127	0.8	0.8
128	0.81	0.81
129	0.82	0.81
130	0.86	0.84
131	0.83	0.84
132	0.73	0.78
133	0.82	0.8
134	0.84	0.82
135	0.81	0.82
136	0.86	0.84
137	0.82	0.83
138	0.78	0.8
139	0.81	0.81
140	0.81	0.81
141	0.8	0.8
142	0.74	0.77
143	0.79	0.78
144	0.83	0.8
145	0.78	0.79
146	0.86	0.83
147	0.81	0.82
148	0.76	0.79
149	0.76	0.77
150	0.83	0.8
151	0.8	0.8
152	0.82	0.81
153	0.71	0.76
154	0.8	0.78
155	0.82	0.8
156	0.85	0.82
157	0.84	0.83
158	0.8	0.82
159	0.76	0.79
160	0.83	0.81
161	0.81	0.81
162	0.78	0.79
163	0.8	0.8
164	0.79	0.79
165	0.78	0.79
166	0.76	0.77
167	0.86	0.82
168	0.87	0.84
169	0.84	0.84
170	0.78	0.81
171	0.86	0.84
172	0.84	0.84
173	0.76	0.8
174	0.78	0.79
175	0.8	0.79
176	0.81	0.8
177	0.79	0.79
178	0.81	0.8
179	0.82	0.81
180	0.76	0.78
181	0.81	0.8
182	0.82	0.81
183	0.78	0.8
184	0.77	0.78
185	0.82	0.8
186	0.82	0.81
187	0.8	0.8
188	0.77	0.79
189	0.79	0.79
190	0.8	0.79
191	0.76	0.78
192	0.84	0.81
193	0.82	0.82
194	0.72	0.77
195	0.82	0.79
196	0.81	0.8
197	0.74	0.77
198	0.85	0.81
199	0.78	0.8
200	0.81	0.8
201	0.82	0.81
202	0.77	0.79
203	0.83	0.81
204	0.85	0.83
205	0.75	0.79
206	0.82	0.8
207	0.84	0.82
208	0.83	0.82
209	0.79	0.81
210	0.81	0.81
211	0.75	0.78
212	0.87	0.83
213	0.82	0.82
214	0.81	0.82
215	0.81	0.81
216	0.83	0.82
217	0.79	0.8
218	0.81	0.81
219	0.82	0.81
220	0.81	0.81
221	0.82	0.81
222	0.83	0.82
223	0.82	0.82
224	0.72	0.77
225	0.84	0.81
226	0.84	0.82
227	0.84	0.83
228	0.79	0.81
229	0.82	0.82
230	0.77	0.8
231	0.8	0.8
232	0.79	0.79
233	0.89	0.84
234	0.82	0.83
235	0.79	0.81
236	0.8	0.8
237	0.78	0.79
238	0.86	0.82
239	0.77	0.8
240	0.79	0.79
241	0.81	0.8
242	0.78	0.79
243	0.78	0.78
244	0.76	0.77
245	0.84	0.81
246	0.84	0.82
247	0.83	0.83
248	0.79	0.81
249	0.82	0.81
250	0.79	0.8
251	0.77	0.78
252	0.84	0.81
253	0.75	0.78
254	0.8	0.79
255	0.76	0.77
256	0.73	0.75
257	0.84	0.79
258	0.85	0.82
259	0.77	0.79
260	0.81	0.8
261	0.76	0.78
262	0.8	0.79
263	0.8	0.8
264	0.78	0.79
265	0.78	0.79
266	0.8	0.79
267	0.8	0.8
268	0.84	0.82
269	0.83	0.83
270	0.82	0.82
271	0.78	0.8
272	0.82	0.81
273	0.79	0.8
274	0.78	0.79
275	0.79	0.79
276	0.8	0.79
277	0.79	0.79
278	0.84	0.82
279	0.79	0.8
280	0.87	0.83
281	0.81	0.82
282	0.82	0.82
283	0.78	0.8
284	0.8	0.8
285	0.86	0.83
286	0.8	0.82
287	0.8	0.81
288	0.81	0.81
289	0.85	0.83
290	0.77	0.8
291	0.8	0.8
292	0.8	0.8
293	0.74	0.77
294	0.82	0.79
295	0.77	0.78
296	0.8	0.79
297	0.79	0.79
298	0.82	0.8
299	0.76	0.78
300	0.82	0.8
301	0.82	0.81
302	0.77	0.79
303	0.81	0.8
304	0.83	0.81
305	0.79	0.8
306	0.82	0.81
307	0.81	0.81
308	0.82	0.81
309	0.85	0.83
310	0.8	0.82
311	0.81	0.81
312	0.85	0.83
313	0.82	0.82
314	0.75	0.79
315	0.8	0.79
316	0.8	0.8
317	0.85	0.82
318	0.81	0.81
319	0.81	0.81
320	0.84	0.83
321	0.75	0.79
322	0.8	0.79
323	0.81	0.8
324	0.79	0.8
325	0.81	0.8
326	0.76	0.78
327	0.8	0.79
328	0.79	0.79
329	0.81	0.8
330	0.74	0.77
331	0.78	0.77
332	0.82	0.8
333	0.8	0.8
334	0.78	0.79
335	0.77	0.78
336	0.8	0.79
337	0.88	0.83
338	0.86	0.85
339	0.78	0.81
340	0.81	0.81
341	0.84	0.83
342	0.81	0.82
343	0.81	0.82
344	0.77	0.79
345	0.81	0.8
346	0.84	0.82
347	0.82	0.82
348	0.8	0.81
349	0.78	0.8
350	0.8	0.8
351	0.82	0.81
352	0.83	0.82
353	0.76	0.79
354	0.8	0.8
355	0.82	0.81
356	0.88	0.84
357	0.82	0.83
358	0.77	0.8
359	0.79	0.8
360	0.81	0.8
361	0.77	0.79
362	0.79	0.79
363	0.75	0.77
364	0.86	0.81
365	0.85	0.83
366	0.82	0.82
367	0.82	0.82
368	0.83	0.83
369	0.86	0.84
370	0.78	0.81
371	0.79	0.8
372	0.78	0.79
373	0.81	0.8
374	0.86	0.83
375	0.82	0.83
376	0.82	0.82
377	0.82	0.82
378	0.76	0.79
379	0.82	0.8
380	0.84	0.82
381	0.85	0.84
382	0.84	0.84
383	0.76	0.8
384	0.84	0.82
385	0.86	0.84
386	0.81	0.82
387	0.79	0.81
388	0.85	0.83
389	0.8	0.82
390	0.85	0.83
391	0.77	0.8
392	0.82	0.81
393	0.77	0.79
394	0.77	0.78
395	0.81	0.8
396	0.82	0.81
397	0.77	0.79
398	0.85	0.82
399	0.8	0.81
400	0.81	0.81
401	0.87	0.84
402	0.83	0.84
403	0.81	0.82
404	0.83	0.83
405	0.82	0.82
406	0.88	0.85
407	0.83	0.84
408	0.8	0.82
409	0.75	0.78
410	0.8	0.79
411	0.85	0.82
412	0.75	0.79
413	0.77	0.78
414	0.79	0.78
415	0.83	0.81
416	0.8	0.8
417	0.86	0.83
418	0.82	0.83
419	0.8	0.81
420	0.86	0.84
421	0.84	0.84
422	0.82	0.83
423	0.84	0.83
424	0.85	0.84
425	0.84	0.84
426	0.81	0.83
427	0.79	0.81
428	0.76	0.78
429	0.82	0.8
430	0.8	0.8
431	0.87	0.83
432	0.83	0.83
433	0.83	0.83
434	0.84	0.84
435	0.78	0.81
436	0.84	0.82
437	0.84	0.83
438	0.84	0.83
439	0.83	0.83
440	0.84	0.83
441	0.75	0.79
442	0.83	0.81
443	0.8	0.81
444	0.82	0.82
445	0.78	0.8
446	0.83	0.81
447	0.78	0.79
448	0.76	0.78
449	0.88	0.83
450	0.76	0.79
451	0.81	0.8
452	0.8	0.8
453	0.83	0.82
454	0.8	0.81
455	0.8	0.8
456	0.81	0.8
457	0.85	0.83
458	0.82	0.82
459	0.85	0.84
460	0.81	0.82
461	0.8	0.81
462	0.85	0.83
463	0.84	0.84
464	0.81	0.82
465	0.83	0.82
466	0.83	0.83
467	0.79	0.81
468	0.82	0.81
469	0.86	0.83
470	0.86	0.84
471	0.78	0.81
472	0.81	0.81
473	0.77	0.79
474	0.78	0.79
475	0.85	0.82
476	0.8	0.81
477	0.84	0.82
478	0.75	0.78
479	0.77	0.78
480	0.82	0.8
481	0.82	0.81
482	0.79	0.8
483	0.77	0.79
484	0.83	0.81
485	0.75	0.78
486	0.81	0.8
487	0.82	0.81
488	0.79	0.8
489	0.79	0.8
490	0.8	0.8
491	0.84	0.82
492	0.83	0.82
493	0.8	0.81
494	0.75	0.78
495	0.83	0.81
496	0.82	0.81
497	0.84	0.83
498	0.8	0.81
499	0.8	0.81
500	0.78	0.8
501	0.83	0.81
502	0.83	0.82
503	0.85	0.84
504	0.81	0.82
505	0.74	0.78
506	0.81	0.8
507	0.81	0.8
508	0.82	0.81
509	0.79	0.8
510	0.76	0.78
511	0.82	0.8
512	0.78	0.79
513	0.76	0.77
514	0.81	0.79
515	0.83	0.81
516	0.83	0.82
517	0.84	0.83
518	0.81	0.82
519	0.82	0.82
520	0.8	0.81
521	0.77	0.79
522	0.87	0.83
523	0.85	0.84
524	0.83	0.84
525	0.86	0.85
526	0.82	0.84
527	0.83	0.83
528	0.79	0.81
529	0.8	0.81
530	0.8	0.8
531	0.85	0.83
532	0.79	0.81
533	0.81	0.81
534	0.79	0.8
535	0.81	0.81
536	0.8	0.8
537	0.85	0.83
538	0.82	0.82
539	0.84	0.83
540	0.8	0.82
541	0.83	0.82
542	0.8	0.81
543	0.77	0.79
544	0.75	0.77
545	0.85	0.81
546	0.81	0.81
547	0.81	0.81
548	0.79	0.8
549	0.81	0.8
550	0.8	0.8
551	0.81	0.8
552	0.82	0.81
553	0.76	0.79
554	0.8	0.79
555	0.77	0.78
556	0.82	0.8
557	0.84	0.82
558	0.76	0.79
559	0.84	0.81
560	0.84	0.83
561	0.82	0.82
562	0.8	0.81
563	0.82	0.81
564	0.78	0.8
565	0.87	0.83
566	0.85	0.84
567	0.76	0.8
568	0.86	0.83
569	0.79	0.81
570	0.84	0.82
571	0.75	0.79
572	0.77	0.78
573	0.83	0.8
