..\Logs\24x6_INV_KNM\Dynamic\Discrete_Continuous\Synapse\
Cummulative Reward: 17626.390000
Trial#	Reward	Avg_Reward
0	0.83	0.41
1	0.8	0.6
2	0.79	0.7
3	0.82	0.76
4	0.77	0.76
5	0.84	0.8
6	0.83	0.81
7	0.79	0.8
8	0.8	0.8
9	0.88	0.84
10	0.81	0.82
11	0.78	0.8
12	0.86	0.83
13	0.85	0.84
14	0.88	0.86
15	0.8	0.83
16	0.84	0.83
17	0.74	0.79
18	0.79	0.79
19	0.83	0.81
20	0.81	0.81
21	0.83	0.82
22	0.78	0.8
23	0.82	0.81
24	0.81	0.81
25	0.85	0.83
26	0.83	0.83
27	0.86	0.85
28	0.92	0.88
29	0.79	0.84
30	0.78	0.81
31	0.83	0.82
32	0.84	0.83
33	0.79	0.81
34	0.87	0.84
35	0.81	0.83
36	0.8	0.81
37	0.82	0.82
38	0.88	0.85
39	0.88	0.86
40	0.83	0.85
41	0.86	0.86
42	0.83	0.84
43	0.79	0.82
44	0.85	0.84
45	0.81	0.82
46	0.84	0.83
47	0.79	0.81
48	0.83	0.82
49	0.82	0.82
50	0.74	0.78
51	0.76	0.77
52	0.9	0.84
53	0.84	0.84
54	0.79	0.81
55	0.83	0.82
56	0.81	0.81
57	0.82	0.82
58	0.86	0.84
59	0.78	0.81
60	0.86	0.83
61	0.79	0.81
62	0.8	0.81
63	0.84	0.82
64	0.84	0.83
65	0.87	0.85
66	0.87	0.86
67	0.84	0.85
68	0.84	0.84
69	0.83	0.83
70	0.77	0.8
71	0.83	0.82
72	0.85	0.83
73	0.81	0.82
74	0.76	0.79
75	0.78	0.79
76	0.83	0.81
77	0.83	0.82
78	0.83	0.83
79	0.82	0.82
80	0.83	0.82
81	0.82	0.82
82	0.82	0.82
83	0.84	0.83
84	0.86	0.84
85	0.88	0.86
86	0.82	0.84
87	0.83	0.84
88	0.76	0.8
89	0.88	0.84
90	0.75	0.79
91	0.85	0.82
92	0.79	0.8
93	0.81	0.81
94	0.75	0.78
95	0.81	0.8
96	0.79	0.79
97	0.8	0.8
98	0.83	0.82
99	0.88	0.85
100	0.79	0.82
101	0.79	0.8
102	0.84	0.82
103	0.81	0.82
104	0.83	0.82
105	0.83	0.82
106	0.84	0.83
107	0.84	0.84
108	0.75	0.79
109	0.8	0.79
110	0.81	0.8
111	0.82	0.81
112	0.85	0.83
113	0.85	0.84
114	0.8	0.82
115	0.81	0.81
116	0.86	0.84
117	0.85	0.84
118	0.83	0.83
119	0.75	0.79
120	0.84	0.82
121	0.81	0.81
122	0.75	0.78
123	0.85	0.82
124	0.79	0.81
125	0.8	0.8
126	0.84	0.82
127	0.78	0.8
128	0.83	0.81
129	0.83	0.82
130	0.85	0.84
131	0.84	0.84
132	0.81	0.83
133	0.88	0.85
134	0.89	0.87
135	0.78	0.82
136	0.79	0.8
137	0.8	0.8
138	0.79	0.79
139	0.83	0.81
140	0.8	0.81
141	0.82	0.82
142	0.91	0.86
143	0.76	0.81
144	0.85	0.83
145	0.93	0.88
146	0.8	0.84
147	0.89	0.86
148	0.86	0.86
149	0.77	0.82
150	0.8	0.81
151	0.84	0.82
152	0.83	0.83
153	0.76	0.8
154	0.77	0.78
155	0.81	0.8
156	0.77	0.78
157	0.83	0.81
158	0.86	0.83
159	0.8	0.82
160	0.78	0.8
161	0.86	0.83
162	0.86	0.84
163	0.83	0.83
164	0.82	0.83
165	0.88	0.85
166	0.81	0.83
167	0.86	0.85
168	0.84	0.84
169	0.8	0.82
170	0.82	0.82
171	0.8	0.81
172	0.8	0.81
