..\Logs\24x6_INV_KNM\Dynamic\Discrete_Continuous\Unit\
Cummulative Reward: 16253.970000
Trial#	Reward	Avg_Reward
0	0.76	0.38
1	0.72	0.55
2	0.76	0.65
3	0.85	0.75
4	0.66	0.7
5	0.85	0.78
6	0.79	0.78
7	0.8	0.79
8	0.86	0.83
9	0.71	0.77
10	0.84	0.8
11	0.81	0.81
12	0.69	0.75
13	0.78	0.76
14	0.78	0.77
15	0.83	0.8
16	0.75	0.78
17	0.83	0.8
18	0.74	0.77
19	0.79	0.78
20	0.73	0.75
21	0.76	0.76
22	0.8	0.78
23	0.71	0.74
24	0.72	0.73
25	0.81	0.77
26	0.84	0.81
27	0.89	0.85
28	0.86	0.86
29	0.75	0.8
30	0.72	0.76
31	0.74	0.75
32	0.8	0.78
33	0.85	0.82
34	0.74	0.78
35	0.84	0.81
36	0.71	0.76
37	0.85	0.81
38	0.84	0.82
39	0.82	0.82
40	0.85	0.84
41	0.74	0.79
42	0.84	0.81
43	0.77	0.79
44	0.94	0.87
45	0.74	0.8
46	0.78	0.79
47	0.78	0.79
48	0.84	0.81
49	0.84	0.82
50	0.81	0.82
51	0.77	0.79
52	0.87	0.83
53	0.8	0.82
54	0.76	0.79
55	0.76	0.78
56	0.83	0.8
57	0.77	0.79
58	0.7	0.74
59	0.88	0.81
60	0.72	0.77
61	0.85	0.81
62	0.85	0.83
63	0.78	0.81
64	0.78	0.79
65	0.73	0.76
66	0.72	0.74
67	0.74	0.74
68	0.72	0.73
69	0.94	0.83
70	0.8	0.81
71	0.87	0.84
72	0.7	0.77
73	0.78	0.77
74	0.82	0.8
75	0.78	0.79
76	0.8	0.8
77	0.86	0.83
78	0.74	0.78
79	0.86	0.82
80	0.85	0.83
81	0.81	0.82
82	0.8	0.81
83	0.78	0.8
84	0.8	0.8
85	0.81	0.8
86	0.84	0.82
87	0.81	0.82
88	0.73	0.77
89	0.89	0.83
90	0.88	0.86
91	0.82	0.84
92	0.83	0.83
93	0.76	0.8
94	0.83	0.81
95	0.74	0.78
96	0.79	0.78
97	0.83	0.81
98	0.77	0.79
99	0.69	0.74
100	0.85	0.79
101	0.84	0.82
102	0.89	0.85
103	0.83	0.84
104	0.85	0.85
105	0.85	0.85
106	0.86	0.86
107	0.74	0.8
108	0.91	0.85
109	0.8	0.83
110	0.81	0.82
111	0.79	0.8
112	0.76	0.78
113	0.83	0.8
114	0.85	0.82
115	0.92	0.87
116	0.87	0.87
117	0.76	0.81
118	0.83	0.82
119	0.75	0.78
120	0.86	0.82
121	0.83	0.83
122	0.8	0.82
123	0.85	0.83
124	0.84	0.83
125	0.92	0.88
126	0.82	0.85
127	0.76	0.8
128	0.91	0.86
129	0.79	0.83
130	0.86	0.84
131	0.82	0.83
132	0.8	0.81
133	0.88	0.85
134	0.8	0.82
135	0.79	0.81
136	0.87	0.84
137	0.83	0.83
138	0.87	0.85
139	0.85	0.85
140	0.8	0.82
141	0.85	0.84
142	0.79	0.81
143	0.81	0.81
144	0.9	0.86
145	0.88	0.87
146	0.84	0.86
147	0.9	0.88
148	0.9	0.89
149	0.88	0.88
150	0.91	0.9
151	0.85	0.88
152	0.85	0.86
153	0.94	0.9
154	0.79	0.85
155	0.89	0.87
156	0.8	0.83
157	0.81	0.82
158	0.84	0.83
159	0.83	0.83
160	0.83	0.83
161	0.89	0.86
162	0.83	0.84
163	0.8	0.82
164	0.78	0.8
165	0.79	0.8
166	0.91	0.85
167	0.82	0.84
168	0.79	0.81
169	0.81	0.81
170	0.79	0.8
171	0.83	0.81
172	0.84	0.83
173	0.71	0.77
174	0.82	0.79
175	0.89	0.84
176	0.91	0.87
177	0.9	0.89
178	0.84	0.86
179	0.93	0.9
180	0.94	0.92
181	0.91	0.91
182	0.87	0.89
183	0.82	0.86
184	0.88	0.87
185	0.84	0.86
186	0.81	0.83
187	0.82	0.83
188	0.85	0.84
189	0.86	0.85
190	0.89	0.87
191	0.89	0.88
192	0.87	0.87
193	0.9	0.89
194	0.88	0.88
195	0.85	0.87
196	0.93	0.9
197	0.87	0.88
198	0.87	0.88
199	0.84	0.86
200	0.86	0.86
201	0.86	0.86
202	0.86	0.86
203	0.87	0.87
204	0.86	0.86
205	0.87	0.87
206	0.85	0.86
207	0.82	0.84
208	0.82	0.83
209	0.92	0.88
210	0.84	0.86
211	0.83	0.84
212	0.95	0.89
213	0.89	0.89
214	0.8	0.85
215	0.89	0.87
216	0.87	0.87
217	0.78	0.82
218	0.86	0.84
219	0.83	0.84
220	0.91	0.87
221	0.84	0.86
222	0.84	0.85
223	0.88	0.86
224	0.96	0.91
225	0.79	0.85
226	0.87	0.86
227	0.86	0.86
228	0.86	0.86
229	0.83	0.85
230	0.82	0.83
231	0.89	0.86
232	0.86	0.86
233	0.82	0.84
234	0.89	0.86
235	0.85	0.86
236	0.8	0.83
237	0.83	0.83
238	0.93	0.88
239	0.9	0.89
240	0.88	0.89
241	0.84	0.86
242	0.83	0.85
243	0.87	0.86
244	0.77	0.81
245	0.81	0.81
246	0.81	0.81
247	0.89	0.85
248	0.78	0.82
249	0.79	0.81
250	0.91	0.86
251	0.78	0.82
252	0.85	0.84
253	0.89	0.86
254	0.88	0.87
255	0.94	0.91
256	0.87	0.89
257	0.86	0.88
258	0.88	0.88
259	0.92	0.9
260	0.79	0.84
261	0.81	0.83
262	0.86	0.84
263	0.83	0.84
264	0.92	0.88
265	0.82	0.85
266	0.89	0.87
267	0.83	0.85
268	0.9	0.88
269	0.95	0.91
270	0.82	0.87
271	0.82	0.84
272	0.84	0.84
273	0.82	0.83
274	0.85	0.84
275	0.83	0.83
276	0.86	0.85
277	0.8	0.83
278	0.87	0.85
279	0.89	0.87
280	0.83	0.85
281	0.88	0.86
282	0.84	0.85
283	0.9	0.88
284	0.92	0.9
285	0.93	0.91
286	0.85	0.88
287	0.89	0.89
288	0.79	0.84
289	0.9	0.87
290	0.86	0.87
291	0.88	0.87
292	0.85	0.86
293	0.83	0.85
294	0.88	0.86
295	0.8	0.83
296	0.87	0.85
297	0.92	0.89
298	0.9	0.9
299	0.8	0.85
300	0.86	0.85
301	0.91	0.88
302	0.95	0.92
303	0.91	0.91
304	0.88	0.9
305	0.86	0.88
306	0.86	0.87
307	0.86	0.86
308	0.9	0.88
309	0.88	0.88
310	0.83	0.86
311	0.89	0.88
312	0.84	0.86
313	0.86	0.86
314	0.91	0.89
315	0.89	0.89
316	0.89	0.89
317	0.89	0.89
318	0.8	0.84
319	0.92	0.88
320	0.71	0.8
321	0.82	0.81
322	0.95	0.88
323	0.9	0.89
324	0.92	0.91
325	0.86	0.88
326	0.77	0.83
327	0.85	0.84
328	0.86	0.85
329	0.87	0.86
330	0.87	0.86
331	0.88	0.87
332	0.83	0.85
333	0.92	0.89
334	0.88	0.88
335	0.88	0.88
336	0.89	0.89
337	0.91	0.9
338	0.86	0.88
339	0.85	0.87
340	0.8	0.83
341	0.87	0.85
342	0.9	0.87
343	0.83	0.85
344	0.83	0.84
345	0.9	0.87
346	0.87	0.87
347	0.94	0.91
348	0.85	0.88
349	0.85	0.86
350	0.82	0.84
351	0.89	0.87
352	0.87	0.87
353	0.93	0.9
354	0.86	0.88
355	0.76	0.82
356	0.92	0.87
357	0.79	0.83
358	0.93	0.88
359	0.88	0.88
360	0.81	0.85
361	0.9	0.87
362	0.89	0.88
363	0.87	0.88
364	0.88	0.88
365	0.83	0.85
366	0.96	0.91
367	0.9	0.9
368	0.9	0.9
369	0.84	0.87
370	0.8	0.83
371	0.88	0.86
372	0.89	0.87
373	0.93	0.9
374	0.84	0.87
375	0.92	0.89
376	0.93	0.91
377	0.86	0.89
378	0.79	0.84
379	0.91	0.88
380	0.85	0.86
381	0.95	0.9
382	0.9	0.9
383	0.85	0.87
384	0.88	0.87
385	0.94	0.91
386	0.92	0.92
387	0.92	0.92
388	0.91	0.91
389	0.85	0.88
390	0.86	0.87
391	0.91	0.89
392	0.85	0.87
393	0.93	0.9
394	0.85	0.88
395	0.9	0.89
396	0.9	0.89
397	0.88	0.89
398	0.87	0.88
399	0.88	0.88
400	0.85	0.87
401	0.82	0.84
402	0.9	0.87
403	0.9	0.89
404	0.91	0.9
405	0.82	0.86
406	0.88	0.87
407	0.82	0.85
408	0.94	0.89
409	0.9	0.89
410	0.9	0.9
411	0.88	0.89
412	0.9	0.89
413	0.86	0.88
414	0.86	0.87
415	0.93	0.9
416	0.79	0.84
417	0.85	0.85
418	0.9	0.87
419	0.89	0.88
420	0.86	0.87
421	0.87	0.87
422	0.88	0.88
423	0.9	0.89
424	0.91	0.9
425	0.84	0.87
426	0.93	0.9
427	0.88	0.89
428	0.89	0.89
429	0.9	0.89
430	0.84	0.87
431	0.91	0.89
432	0.88	0.88
433	0.88	0.88
434	0.89	0.89
435	0.88	0.88
436	0.92	0.9
437	0.91	0.91
438	0.93	0.92
439	0.89	0.9
440	0.82	0.86
441	0.89	0.87
442	0.91	0.89
443	0.88	0.89
444	0.9	0.89
445	0.86	0.88
446	0.92	0.9
447	0.9	0.9
448	0.85	0.88
