..\Logs\30x3_INV_KNM\Dynamic\Discrete_Continuous\Synapse\
Cummulative Reward: 16641.960000
Trial#	Reward	Avg_Reward
0	0.65	0.32
1	0.66	0.49
2	0.74	0.62
3	0.71	0.66
4	0.76	0.71
5	0.73	0.72
6	0.73	0.73
7	0.69	0.71
8	0.73	0.72
9	0.65	0.68
10	0.66	0.67
11	0.77	0.72
12	0.73	0.72
13	0.82	0.77
14	0.78	0.77
15	0.78	0.78
16	0.73	0.75
17	0.79	0.77
18	0.69	0.73
19	0.72	0.72
20	0.75	0.74
21	0.79	0.76
22	0.74	0.75
23	0.75	0.75
24	0.73	0.74
25	0.85	0.79
26	0.7	0.75
27	0.77	0.76
28	0.69	0.72
29	0.78	0.75
30	0.74	0.75
31	0.7	0.72
32	0.73	0.73
33	0.67	0.7
34	0.7	0.7
35	0.78	0.74
36	0.73	0.74
37	0.7	0.72
38	0.65	0.68
39	0.78	0.73
40	0.74	0.74
41	0.78	0.76
42	0.69	0.73
43	0.65	0.69
44	0.73	0.71
45	0.75	0.73
46	0.67	0.7
47	0.72	0.71
48	0.72	0.72
49	0.68	0.7
50	0.77	0.73
51	0.7	0.72
52	0.72	0.72
53	0.76	0.74
54	0.72	0.73
55	0.7	0.72
56	0.81	0.76
57	0.73	0.75
58	0.73	0.74
59	0.68	0.71
60	0.74	0.73
61	0.75	0.74
62	0.77	0.75
63	0.75	0.75
64	0.71	0.73
65	0.71	0.72
66	0.72	0.72
67	0.73	0.73
68	0.71	0.72
69	0.76	0.74
70	0.7	0.72
71	0.78	0.75
72	0.76	0.76
73	0.71	0.73
74	0.8	0.76
75	0.7	0.73
76	0.75	0.74
77	0.76	0.75
78	0.74	0.74
79	0.73	0.74
80	0.71	0.72
81	0.77	0.74
82	0.74	0.74
83	0.67	0.7
84	0.75	0.73
85	0.77	0.75
86	0.7	0.73
87	0.74	0.73
88	0.78	0.76
89	0.67	0.71
90	0.68	0.69
91	0.79	0.74
92	0.76	0.75
93	0.73	0.74
94	0.78	0.76
95	0.72	0.74
96	0.75	0.75
97	0.75	0.75
98	0.8	0.77
99	0.76	0.77
100	0.74	0.75
101	0.75	0.75
102	0.77	0.76
103	0.73	0.75
104	0.82	0.78
105	0.76	0.77
106	0.75	0.76
107	0.67	0.71
108	0.72	0.72
109	0.71	0.71
110	0.76	0.74
111	0.74	0.74
112	0.78	0.76
113	0.72	0.74
114	0.73	0.73
115	0.66	0.7
116	0.76	0.73
117	0.69	0.71
118	0.77	0.74
119	0.67	0.7
120	0.74	0.72
121	0.67	0.69
122	0.76	0.73
123	0.76	0.74
124	0.76	0.75
125	0.76	0.76
126	0.75	0.75
127	0.78	0.77
128	0.7	0.73
129	0.76	0.74
130	0.81	0.78
131	0.74	0.76
132	0.79	0.78
133	0.76	0.77
134	0.71	0.74
135	0.7	0.72
136	0.72	0.72
137	0.76	0.74
138	0.7	0.72
139	0.73	0.73
140	0.77	0.75
141	0.73	0.74
142	0.74	0.74
143	0.74	0.74
144	0.71	0.73
145	0.7	0.71
146	0.72	0.72
147	0.72	0.72
148	0.8	0.76
149	0.7	0.73
150	0.66	0.7
151	0.7	0.7
152	0.7	0.7
153	0.65	0.67
154	0.68	0.68
155	0.81	0.74
156	0.66	0.7
157	0.72	0.71
158	0.76	0.73
159	0.78	0.76
160	0.72	0.74
161	0.73	0.73
162	0.71	0.72
163	0.78	0.75
164	0.78	0.76
165	0.72	0.74
166	0.8	0.77
167	0.66	0.71
168	0.82	0.77
169	0.82	0.79
170	0.78	0.79
171	0.74	0.76
172	0.8	0.78
173	0.8	0.79
174	0.68	0.73
175	0.72	0.73
176	0.79	0.76
177	0.75	0.75
178	0.72	0.74
179	0.75	0.74
180	0.72	0.73
181	0.74	0.74
182	0.71	0.72
183	0.71	0.72
184	0.78	0.75
185	0.77	0.76
186	0.7	0.73
187	0.81	0.77
188	0.76	0.76
189	0.84	0.8
190	0.65	0.73
191	0.8	0.76
192	0.74	0.75
193	0.72	0.73
194	0.68	0.71
195	0.72	0.71
196	0.7	0.71
197	0.75	0.73
198	0.77	0.75
199	0.74	0.74
200	0.7	0.72
201	0.65	0.69
202	0.79	0.74
203	0.75	0.74
204	0.76	0.75
205	0.75	0.75
206	0.7	0.72
207	0.75	0.74
208	0.85	0.79
209	0.66	0.72
210	0.82	0.77
211	0.71	0.74
212	0.67	0.71
213	0.72	0.71
214	0.67	0.69
215	0.81	0.75
216	0.73	0.74
217	0.73	0.74
218	0.79	0.76
219	0.78	0.77
220	0.75	0.76
221	0.76	0.76
222	0.79	0.77
223	0.77	0.77
224	0.68	0.73
225	0.8	0.76
226	0.73	0.75
227	0.71	0.73
228	0.8	0.76
229	0.66	0.71
230	0.68	0.7
231	0.68	0.69
232	0.77	0.73
233	0.85	0.79
234	0.68	0.73
235	0.73	0.73
236	0.73	0.73
237	0.76	0.74
238	0.69	0.72
239	0.75	0.73
240	0.81	0.77
241	0.71	0.74
242	0.71	0.72
243	0.75	0.74
244	0.73	0.73
245	0.71	0.72
246	0.73	0.73
247	0.75	0.74
248	0.76	0.75
249	0.78	0.76
250	0.81	0.79
251	0.83	0.81
252	0.77	0.79
253	0.76	0.77
254	0.7	0.74
255	0.67	0.7
256	0.72	0.71
257	0.79	0.75
258	0.75	0.75
259	0.66	0.7
260	0.8	0.75
261	0.71	0.73
262	0.76	0.75
263	0.73	0.74
264	0.7	0.72
265	0.71	0.72
266	0.77	0.74
267	0.79	0.76
268	0.66	0.71
269	0.77	0.74
270	0.79	0.76
271	0.69	0.73
272	0.75	0.74
273	0.8	0.77
274	0.78	0.77
275	0.71	0.74
276	0.73	0.74
277	0.78	0.76
278	0.81	0.78
279	0.68	0.73
280	0.63	0.68
281	0.73	0.7
282	0.71	0.71
283	0.69	0.7
284	0.69	0.69
285	0.72	0.71
286	0.77	0.74
287	0.77	0.75
288	0.79	0.77
289	0.73	0.75
290	0.72	0.74
291	0.73	0.73
292	0.75	0.74
293	0.73	0.74
294	0.64	0.69
295	0.8	0.75
296	0.77	0.76
297	0.69	0.72
298	0.7	0.71
299	0.81	0.76
300	0.71	0.74
301	0.78	0.76
302	0.69	0.72
303	0.76	0.74
304	0.82	0.78
305	0.76	0.77
306	0.76	0.76
307	0.71	0.74
308	0.77	0.76
309	0.79	0.77
310	0.72	0.75
311	0.73	0.74
312	0.8	0.77
313	0.75	0.76
314	0.75	0.75
315	0.74	0.75
316	0.81	0.78
317	0.71	0.74
318	0.67	0.71
319	0.76	0.74
320	0.75	0.74
321	0.78	0.76
322	0.69	0.73
323	0.74	0.73
324	0.79	0.76
325	0.76	0.76
326	0.84	0.8
327	0.77	0.79
328	0.77	0.78
329	0.71	0.74
330	0.74	0.74
331	0.7	0.72
332	0.78	0.75
333	0.8	0.78
334	0.83	0.8
335	0.7	0.75
336	0.73	0.74
337	0.76	0.75
338	0.68	0.72
339	0.71	0.72
340	0.81	0.76
341	0.81	0.78
342	0.74	0.76
343	0.74	0.75
344	0.73	0.74
345	0.77	0.76
346	0.8	0.78
347	0.73	0.76
348	0.77	0.76
349	0.83	0.8
350	0.83	0.81
351	0.71	0.76
352	0.74	0.75
353	0.72	0.73
354	0.66	0.7
355	0.71	0.7
356	0.71	0.71
357	0.84	0.77
358	0.76	0.77
359	0.75	0.76
360	0.72	0.74
361	0.68	0.71
362	0.73	0.72
363	0.76	0.74
364	0.73	0.74
365	0.75	0.74
366	0.7	0.72
367	0.72	0.72
368	0.78	0.75
369	0.71	0.73
370	0.76	0.74
371	0.76	0.75
372	0.74	0.75
373	0.75	0.75
374	0.75	0.75
375	0.78	0.76
376	0.8	0.78
377	0.7	0.74
378	0.72	0.73
379	0.84	0.79
380	0.85	0.82
381	0.75	0.78
382	0.74	0.76
383	0.77	0.77
384	0.8	0.78
385	0.77	0.77
386	0.74	0.76
387	0.77	0.77
388	0.82	0.79
389	0.77	0.78
390	0.8	0.79
391	0.72	0.76
392	0.78	0.77
393	0.68	0.73
394	0.84	0.78
395	0.76	0.77
396	0.72	0.74
397	0.75	0.75
398	0.81	0.78
399	0.73	0.75
400	0.78	0.77
401	0.72	0.74
402	0.76	0.75
403	0.77	0.76
404	0.69	0.73
405	0.68	0.7
406	0.81	0.76
407	0.76	0.76
408	0.78	0.77
409	0.72	0.75
410	0.68	0.71
411	0.78	0.75
412	0.73	0.74
413	0.86	0.8
414	0.73	0.76
415	0.74	0.75
416	0.72	0.74
417	0.87	0.81
418	0.73	0.77
419	0.73	0.75
420	0.67	0.71
421	0.79	0.75
422	0.8	0.77
423	0.78	0.78
424	0.72	0.75
425	0.71	0.73
426	0.8	0.76
427	0.72	0.74
428	0.77	0.76
429	0.74	0.75
430	0.77	0.76
431	0.74	0.75
432	0.75	0.75
433	0.74	0.75
434	0.71	0.73
435	0.74	0.73
436	0.7	0.72
437	0.82	0.77
438	0.77	0.77
439	0.8	0.79
440	0.77	0.78
441	0.81	0.79
442	0.65	0.72
443	0.7	0.71
444	0.75	0.73
445	0.75	0.74
446	0.83	0.78
447	0.79	0.79
448	0.76	0.77
449	0.75	0.76
450	0.71	0.73
451	0.79	0.76
452	0.79	0.78
453	0.83	0.81
454	0.68	0.74
455	0.74	0.74
456	0.78	0.76
457	0.82	0.79
458	0.79	0.79
459	0.78	0.79
460	0.79	0.79
461	0.82	0.8
462	0.83	0.82
463	0.76	0.79
464	0.78	0.78
465	0.69	0.74
466	0.71	0.72
467	0.73	0.73
468	0.78	0.75
469	0.74	0.75
470	0.79	0.77
471	0.7	0.74
472	0.81	0.77
473	0.74	0.76
474	0.73	0.74
475	0.71	0.73
476	0.77	0.75
477	0.7	0.72
478	0.77	0.75
479	0.76	0.75
480	0.77	0.76
